CNPJ,"tse_id","url","NM_UE","util","position","estimulada","suspensa","vv","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul39","cand40","resul40","cand41","resul41","cand42","resul42","cand43","resul43","manual_filename","SG_UE","obs","new_id","sg_uf.x","instituto","total","year","for_patch_2","person","for_patch_1","br_poll_id","state_poll_id","cannot_find_id","tse_id_new","scenario","new_tse_id"
09636807000190,"PI-08793/2018","https://www.oitomeia.com.br/noticias/politica/2018/08/30/dataaz-w-dias-mantem-lideranca-nas-intencoes-de-voto-em-piracuruca-confira-cenarios/","BRASIL",1,"g",0,NA,NA,"WELLINGTON DIAS",17.71,"DR PESSOA",1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv",NA,NA,NA,NA,NA,18.85,2018,FALSE,NA,FALSE,NA,"PI-08793/2018",NA,NA,NA,NA
09636807000190,"PI-08793/2018","https://www.oitomeia.com.br/noticias/politica/2018/08/30/dataaz-w-dias-mantem-lideranca-nas-intencoes-de-voto-em-piracuruca-confira-cenarios/","BRASIL",1,"g",1,NA,NA,"WELLINGTON DIAS",50.29,"DR PESSOA",8.86,"LUCIANO NUNES",3.71,"ELMANO FERRER",3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv",NA,NA,NA,NA,NA,66.29,2018,FALSE,NA,FALSE,NA,"PI-08793/2018",NA,NA,NA,NA
09636807000190,"PI-08793/2018","https://www.portalaz.com.br/publicacao/1922/","BRASIL",1,"s",1,NA,NA,"ROBERT RIOS",13.57,"WILSON MARTINS",10.86,"FRANK AGUIAR",9.43,"CIRO NOGUEIRA",4.71,"MARCELO CASTRO",2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv",NA,NA,NA,NA,NA,40.86,2018,FALSE,NA,FALSE,NA,"PI-08793/2018",NA,NA,NA,NA
