candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,wrong
JAUMAR,MARCOS LUIZ JAUHAR,JAUHAR,
ELEZAR LOPES,ELEAZAR FERREIRA LOPES,ELEAZAR LOPES,
GRACIMERI GRAVIORNO,GRACIMERI VIEIRA SOEIRO CASTRO GAVIORNO,GRACIMERI GAVIORNO,
DAILTON PERIM,DALTON PERIM,DALTON PERIM,
JOSMAS MOURAGAS,JOSMAR SANTOS MOURA,JOSMAR MOURAGAS,
NELIO ANTONIO,HELIO ANTONIO SILVA,HELIO ANTONIO,
TIAO DELFINO,SEBASTIAO SANTANA OLIVEIRA,TIAO DEILFINO,
ALESANDRE JESUSPOLIS,ALESANDRE LUIZ JESUS,ALESANDRE JESUPOLIS,
MANO JACOB,HEMANUELLE DI LARA SIQUEIRA JACOB,MANU JACOB,
VANUSA VALADARES,VANUZA PRIMO ARAUJO VALADARES,VANUZA VALADARES,
MARIO LUIS,MARCIO LUIS SILVA,MARCIO LUIS,
FERNANDO GONCALO,CARLA FERNANDA REGO GONCALO,FERNANDA GONCALO,
ASSS,FRANCISCO ASSIS ANDRADE RAMOS,ASSIS,
ANDREIA COLONIA,ANDREA SAYRE GONCALVES COUTINHO,ANDREA COLONIA,
GUEDES MISTER,JOSE ARAUJO GUEDES,GUEDES MISTER M,
WAGNER MELLILLO,WAGNER JOSE SILVA MELILLO,WAGNER MELILLO,
JAYME MORAESA,JAYME MORAES VILELA,JAYME MORAES,
GEOVANI VILA NOVA,GEOVANE PEREIRA SANTOS,GEOVANE VILA NOVA,
IVAN NUNES,IVAM SOUZA NUNES,IVAM NUNES,
CHICO AZOGUE,FRANCISCO FERREIRA SOUZA,CHICO AZOUGUE,
CEZAR MENDONCA,CEZAR MENDONCA SOUSA,CESAR MENDONCA,
PAULO BARRUDA,PAULO ROBERTO FRANCISCO SILVA,PAULO BARRUDADA,
EDUARDO DAMACHADO,EDUARDO ALVES CONTI,EDUARDO MACHADO,
JOAO KLEBER,JOAO CLEBER SOUZA TORRES,JOAO CLEBER,
MARCILIO FERAZ,MARCILLIO JERONYMO ALENCAR FERRAZ,MARCILLIO FERRAZ,
POMPILIN,POMPILIO EVARISTO CARDOSO FILHO,POMPILIM,
SIMONE PEIREIRA,SIMONE PEREIRA FARIAS ARAUJO,SIMONE PEREIRA,
MARCELLO FONSECA,MACELLO SOARES BEZERRA FONSECA,MACELLO FONSECA,
FILLIPO MARCON,JOAO FELIPE RIBEIRO PELANDA,FILIPPO MARCON,
MARCIO PALUDO,MERCIO FRANCISCO PALUDO,MERCIO PALUDO,
SAMUEL SANTAS,SAMUEL PEREIRA SILVA,SAMUEL DANTAS,
ADILSON STUZATA,JOSE ADILSON STUZATTA,ADILSON STUZATTA,
DR GERSON,GERSO FRANCISCO GUSSO,DR GERSO,
JHONATAN LOURINDO,JHONATAN FELIPE LAURINDO GOMES DUARTE,JHONATAN LAURINDO,
MANOEL OTICA,EMANUEL SOUZA BATISTA,MANEL OTICA,
CAIO VIANA,CAIO SANTOS VIANNA,CAIO VIANNA,
BARRIEL,SEBASTIAO WAGNER BERRIEL,BERRIEL,
ALDO JULHO,ALDAIR JULIO PEREIRA,ALDO JULIO,
GILLARD GOMES,GILLIARD SANTOS GOMES,GILLIARD GOMES,
CARLOUS SOUZA,CARLOS ALBERTO MATOS SOUZA,CARLOS SOUZA,
RICARDO GHELLERE,RICARDO GHELERE,RICARDO GHELERE,
NEY CLIVAVTI,NEY EMILIO CLIVATI,NEY CLIVATI,
CHICO BALTAZAR,FRANCISCO CARLOS BALTHAZAR,CHICO BALTHAZAR,
GEOVANE GODOY,GEOVANE GODOI,GEOVANE GODOI,
JAIR KLEBER,JAIR CONRADO KLEBBER,JAIR KLEBBER,
ELIZEU MIBACH,ELISEU MIBACH,ELISEU MIBACH,
GILBERTO KNAPICK,GILBERTO RENATO KNAPIK,GILBERTO KNAPIK,
PERCY STARCK,PERCY STORCK,PERCY STORCK,
EZEQUIEL MELO,EZEQUIEL ALVES MELLO,EZEQUIEL MELLO,
THALLES COST,THALLES ANDRADE COSTA,THALLES COSTA,
PROFESSOR PIMPIM,ILDEVAN CESAR CARDOSO SANTOS,´PROFESSOR PIMPIM,
ALDEMIR FRANKLIN,ALDEMIR LOPES MESQUITA FRANKLIM,ALDEMIR FRANKLIM,
TAKA YAMAUCHIH,TAKAHARU YAMAUCHI,TAKA YAMAUCHI,
GEISEL DUARTE,GESIEL DUARTE OLIVEIRA,GESIEL DUARTE,
RAFAEL BRUXELAS,RAFAEL BRUXELLAS PARRA,RAFAEL BRUXELLAS,
MARCEO OLIVEIRA,FRANCISCO MARCELO OLIVEIRA,MARCELO OLIVEIRA,
DANY FORESTI,DANY WILIAN FLORESTI,DANY FLORESTI,
THIAGO TOTORELLO,THIAGO TORTORELLO,THIAGO TORTORELLO,
MARCIO FRANLA,MARCIO LUIZ FRANCA GOMES,MARCIO FRANCA,
MARCIO FRANCS,MARCIO LUIZ FRANCA GOMES,MARCIO FRANCA,
JUCELINO MANSO,JUSCELINO MELO MANSO,JUSCELINO MANSO,
REINALDO GOES,REINALDO BARBOSA GOES,REINALLDO GOES,
CLEYVINHO,REGIS CLEIVYS SAMPAIO BETO,CLEIVINHO,
DR MICHEL,MICHELL AMARAL ALMEIDA,DR MICHELL,
OSCAR RODRIGEUES,OSCAR SPINDOLA RODRIGUES JUNIOR,OSCAR RODRIGUES,
EDU RESTAUNRANTE,EDUARDO JOSE RAMOS,EDU RESTAURANTE,
ILEIDA QUEIJO,ILEILDA MORAIS SILVA CUTRIM,ILEILDA QUEIJO,
DR ALINE,ALINE LEONIDAS SOUSA LACERDA,DRA ALINE,
JULIO CESAS,JULIO CESAR ALMEIDA NETO,JULIO CESAR,
DR ALMILCAR,AMILCAR GONCALVES ROCHA,DR AMILCAR,
ARTURZINHO,ARTU VIEIRA OLIVEIRA FILHO,ARTUZINHO,
JOSMAIL RODRIGUESD,JOSMAIL RODRIGUES,JOSMAIL RODRIGUES,
LUCAS FORONO,LUCAS CENTENARO FORONI,LUCAS FORONI,
LEANDRO BERTOLAZZI,EMERSON LEANDRO BORTOLAZZI,LEANDRO BORTOLAZZI,
JORGE YANAU,JORGE YOSHIAKI YANAI,JORGE YANAI,
LUIZ FERNANDO,LUIS FERNANDO FERREIRA FALCAO,LUIS FERNANDO,
DU CAZELLATTO,EDNILSON CAZELLATO,DU CAZELLATO,
PEDRO GUVALE,PEDRO VIEIRA SOUZA,PEDRAO GUIVALE,
CINTIA RIBEIRO,CINTHIA ALVES CAETANO RIBEIRO,CINTHIA RIBEIRO,
VITOR CONTADOR,VITTOR HUGO CORREIA GOMES,VITTOR CONTADOR,
AFRANIO MIRANA,AFRANIO FERREIRA MIRANDA FILHO,AFRANIO MIRANDA,
FLAVIO TIETE,FLAVIO SANTOS TEIXEIRA,FLAVIO TETE,
MARIO CAVALCANTI,FRANCISCO MARCIO BEZERRA CAVALCANTI,MARCIO CAVALCANTI,
AMAZON,JOSE AMAZAN SILVA,AMAZAN,
IRAN JUNIOR,IRON LUCAS OLIVEIRA JUNIOR,IRON JUNIOR,
WALDEMAR GOIS,WALDEMAR HORACIO GOIS NETO,VALDEMAR GOIS,
MARIA OLIMPIO,MARIA OLIMPIA FERREIRA NUNES EUFRASIO,MARIA OLIMPIA,
AGUINALDO FERNANDES,FRANCISCO AGNALDO OLIVEIRA FERNANDES,AGNALDO FERNANDES,
BERLINHO DIAS,ROSIBERIO COSTA DIAS,BERINHO DIAS,
JOAO VITOR XAIVER,JOAO VITOR XAVIER FAUSTINO,JOAO VITOR XAVIER,
LEAONARDO GADELHA,LEONARDO MELO GADELHA,LEONARDO GADELHA,
DR LAENCIO,LAENIO ROMMEL RODRIGUES MACEDO,DR LAENIO,
ZE LUIS FRANGO,JOSE LUIZ ALVES MACHADO,ZE LUIZ FRANGO,
OLIVIO DAMBRO,OLIVO DAMBROS,OLIVO DAMBROS,
ULISSSES MAIA,ULISSES JESUS MAIA KOTSIFAS,ULISSES MAIA,
LAURIDO SPEROTTO,LAURINDO SPEROTTO,LAURINDO SPEROTTO,
CESAR MELO,CEZAR MELO,CEZAR MELO,
CACAU RESENDE,ANTONIO CARLOS TEIXEIRA REZENDE,CACAU REZENDE,
DRª ISABEL FERNANDES,ISABEL CRISTINA SOUZA FERNANDES SANTOS,DR ISABEL FERNANDES,
CLEMOR BATISTI,CLEMOR ANTONIO BATTISTI,CLEMOR BATTISTI,
DR JEFFERSON,JEFFERSON LUIS FERNANDES BEATO,DR JEFERSON,
ARTHUR JESUS,ARTUR JESUS BRITO,ARTUR JESUS,
PASTOR SERIGO LOURENCO,SERGIO SILVA LOURENCO,PASTOR SERGIO LOURENCO,
MINA CACIQUE,MARIA GRACAS ARAUJO,NINA CACIQUE,
DR SAMEA,SAMEA RAFAELLA TORRES TENORIO MASCARENHAS,DRA SAMEA,
ZEQUIHNA,JOSE NERY SOUZA,ZEQUINHA,
GILVANIA ZE MARIO,GILVANA EVAGELISTA SOUZA,GILVANA ZE MARIO,
WILLIAN PARREIRA,WILLIAM PARREIRA DUARTE,WILLIAM PARREIRA,
ROBINO NEVES,ROBSON ROLDINEI SAO JOSE,ROBINHO NEVES,
DIVINA LAJES,DIVINO FREITAS TOSTA,DIVINO LAJES,
MARINA MANEA,MARIA MANEA CRUZ,MARIA MANEA,
ARTUR BOLINNHA,JOSE ARTUR MELO ALMEIDA,ARTUR BOLINHA,
NENE BATATA,JOSE SIMAO DUARTE FILHO,NENEM BATATA,
GILSON SERRARI,GILSON ROCHA FERNANDES,GILSON SERRARIA,
FORTUNATO MASCARENHAS,FURTUNATO MASCARENHAS FILHO,FURTUNATO MASCARENHAS,
FRACENILSON,FRANCENILSON ALEXANDRE SANTOS,FRANCENILSON,
ISOLDA DANTAAS,MARIA ISOLDA DANTAS MOURA,ISOLDA DANTAS,
DANIEL MUNDRUKU,DANIEL MONTEIRO COSTA,DANIEL MUNDURUKU,
CESALE,MARCO ANTONIO CASALE,CASALE,
GULHERME BOULOS,GUILHERME CASTRO BOULOS,GUILHERME BOULOS,
HELDER BOCO,HELDER LIBERATO BOVO,HELDER BOVO,
JANJAO,PAULO RICARDO BEOLCHI LUCAS,JAJAO,
PROFESSOR LUIZ HENRIQUE,LUIZ HENRIQUE ALVES CRUZ JUNIOR,PROFESSOR LUIZ HENRIQE,
EVILARIO COSTA,EVILASIO OLIVEIRA COSTA,EVILASIO COSTA,
CHICO BAIA,JOSELICIO BONINA COSTA,CHICO BALA,
DANIEL FLIM,DANIEL PEREIRA SILVA,DANIEL FIIM,
SANDRA RICARDO,SANDRO RICARDO OLIVEIRA SOUSA,SANDRO RICARDO,
DIEGO PEREIRA,DYEGO PEREIRA LIMA,DYEGO PEREIRA,
PEDRINHO PEDAO,PEDRO RIBEIRO FREITAS FILHO,PEDRINHO PEDRAO,
CHRISTIANE LOPES,CRISTIANE LOPES LUZ BENARROSH,CRISTIANE LOPES,
CRIS FORSELL,CRISTIANE FORSSELL FERRARA FOMIN,CRIS FORSSELL,
DR YOUSSEF,YUSSEF MOHAMED EL SALLA,YUSSEF,
PASTOR ALOISIO PENIDO,ALOIZIO PENIDO BERTHO,ALOIZIO PENIDO,
JOANA D'ARCK CAETANO,JOANA D ARCK CAETANO,JOANA D ARCK,
JONES CAVAGLEIRI,JONES CAVAGLIERI,JONES,
NARCSIO GENUINO,NARCISO GENUINO,PROFESSOR NARCISO GENUINO,
NARCISIO GENUINO,NARCISO GENUINO,PROFESSOR NARCISO GENUINO,
LUIGI ROTUNO,LUIGI ROTUNNO,LUIGI,
JOVES CAVAGLIERI,JONES CAVAGLIERI,JONES,
FABIANO DALLA VALLA,FABIANO DALLA VALLE,FABIANO,
EYDER BRASIL,EYDER BRASIL CARMO,SARGENTO EYDER BRASIL,
RONALDO FLORES,MAURO RONALDO FLORES CORREIA,CORONEL RONALDO FLORES,
PIMENTEL,WILLIAMES PIMENTEL OLIVEIRA,WILLIAMES PIMENTEL,
LEONEL,JOAO LEONEL BERTOLIN,LEONEL BERTOLIN,
RAMON,RAMON CUJUI FREITAS,RAMON CUJUI,
ADA DANTAS,ADA CLEIA SICHINEL DANTAS BOABAID,ADA DANTAS BOABAID,
EVERALDO FOGACA,EVERALDO ALVES FOGACA,FOGACA SITE O OBSERVADOR,
CLEBES,CLEBES DIAS FERREIRA,CLEBES DIAS,
ROSANI,ROSANI TEREZINHA PIRES COSTA DONADON,ROSANI DONADON,
ATAIDE,ATAIDE RIBEIRO GONCALVES,ATAIDE AVEZAO,
BALDIN,ISAIR FRANCISCO BALDIN,ISAIR BALDIN,
ANA PAULA,TATIANA CAROLINA PAULA,TATY PAULA,
ELIZEU,ELIZEU FRANCISCO SILVA,ELIZEU EVANGELISTA,
RODNEI PAES,RODNEI ANTONIO PAES,PROFESSOR RODNEI PAES,
UENDER,UENDER ARPINE NOGUEIRA,UENDER NOGUEIRA,
VANDERLEI,VANDERLEI TECCHIO,VANDERLEI CASA BELA,
BANDEIRA,HALMERIO JOAQUIM CARNEIRO BRITO BANDEIRA MELO,DR BANDEIRA,
EZEQUIEL,EZEQUIEL JUNIOR SANTOS COSTA,EZEQUIEL JUNIOR,
EDSON,EDSON WELTEN FILHO,EDSON WELTEN,
WELISON,WELISON NUNES SILVA,DR WELISON NUNES,
ALEXANDRE NOGUEIRA,ALEXANDRE SANTOS NOGUEIRA,DR ALEXANDRE NOGUEIRA,
NATA FELICIANO,NATA FELICIANO SILVA,NATA FELICIANO SIND RURAL,
WELISON NUNES,WELISON NUNES SILVA,DR WELISON NUNES,
CRISTALINO,CRISTALINO HOLANDA MONTENEGRO,DR CRISTALINO,
ALTAIR,ALTAIR RAMOS GOMES,PROF ALTAIR,
JOAO MOREIRA,JOAO DUARTE MOREIRA,DR JOAO MOREIRA,
DOUGLAS PIEPER,DOUGLAS PIEPER SANTOS,DOUGLAS PIEPER SANTOS,
NADIR,NADIR OLIVEIRA DIODATO DIAS,DRA NADIR DIODATO,
SHEILA ANSELMO MOSSO,SHEILA FLAVIA ANSELMO MOSSO,DOUTORA SHEILA,
VALDECIR,VALDECIR BAGATTOLI,VALDECIR BAGATTOLI,
BOCALOM,SEBASTIAO BOCALOM RODRIGUES,TIAO BOCALOM,
DUARTE,ROBERTO DUARTE JUNIOR,ROBERTO DUARTE,
MINORU,MINORU MARTINS KINPARA,MINORU KINPARA,
SOCORRO,MARIA SOCORRO NERI MEDEIROS SOUZA,SOCORRO NERI,
JAMYL,JAMYL ASFURY MARTINS OLIVEIRA,JAMYL ASFURY,
SOSTER,BELCLADIO JARBAS SOSTER,JARBAS SOSTER,
TANIZIO SA,JOSE ALTANIZIO TAUMATURGO SA,TANIZO,
LUIS AUGUSTO SILVA,LUIS AUGUSTO COSTA SILVA,AUGUSTO,
RAMIRO,RAMIRO GONCALVES ARAUJO,RAMIRO GONCALVES,
ANDRE CORREA,ANDRE RICARDO PEREIRA CORREA,ANDRE BIBI,
RADSON ROGERTON,RADSON ROGERTON SANTOS ALVES,RADINHO,
CARLOS DIAS,CARLOS WALCI DIAS GOES,DR CARLOS DIAS,
CLEBER OLIVEIRA,CLEBER OLIVEIRA SILVA,CLEBAO,
OCIVALDO,JOAO OCIVALDO BATISTA AMORIM,OCIVALDO AMORIM,
OTANIEL,OTANIEL LYRA OLIVEIRA,OTANIEL LYRA,
JERRIMAR CASTRO,JERRIMAR NOGUEIRA CASTRO,PROF JERRIMAR CASTRO,
ADAIL PINHEIRO,ADAIL JOSE FIGUEIREDO PINHEIRO,ADAIL,
LUIZ VASQUEZ,LUIZ MANOEL VASQUEZ DELGADO FILHO,LUIZ VASQUEZ O GORDO,
ANTONIO PEIXOTO,ANTONIO PEIXOTO OLIVEIRA,PEIXOTO,
DON MARQUES,DONMARQUES ANVERES MENDONCA,DON,
DONMARQUES MENDONCA,DONMARQUES ANVERES MENDONCA,DON,
ADALFRANK,ADALFRANK TEIXEIRA SILVA,ADALFRANK O NEGAO,
FIGUEIRA,ANGELUS CRUZ FIGUEIRA,ANGELUS FIGUEIRA,
FRANCISCO BEZERRA,FRANCISCO FERNANDES BEZERRA,BEZERRA,
JOSE RICARDO,JOSE RICARDO WENDLING,ZE RICARDO,
ALBERTO NETO,ALBERTO BARROS CAVALCANTE NETO,CAPITAO ALBERTO NETO,
ALFREDO MENEZES,ALFREDO ALEXANDRE MENEZES JUNIOR,CORONEL MENEZES,
ALMEIDA,DAVID ANTONIO ABISAI PEREIRA ALMEIDA,DAVID ALMEIDA,
ADENILSON,ADENILSON LIMA REIS,ADENILSON REIS,
JUSCELINO,JUSCELINO MELO MANSO,JUSCELINO MANSO,
GARCIA,FRANK LUIZ CUNHA GARCIA,BI GARCIA,
MANSO,JUSCELINO MELO MANSO,JUSCELINO MANSO,
ERALDO TRINDADE,ERALDO TRINDADE SILVA,ERALDO CB,
ALEXANDRE RIBEIRO,ALEXANDRE MACEDO RIBEIRO,DR ALEXANDRE,
RAMIRO ALVES,RAMIRO ALVES SILVA,RAMIRO,
ISAMAR,ISAMAR PESSOA RAMALHO,PR ISAMAR,
PEDRO HENRIQUE,PEDRO HENRIQUE WANDERLEY MACHADO,PEDRO HENRIQUE MACHADO,
DARLENE,DARLENE BATISTA,DARLENE TIRIRICA,
MAQUILES,MAQUILES FERNANDES MOTA,MAQUILES MOTA,
CELSO LOPES,CELSO LOPES CARDOSO,DR CELSO,
JEFFERSON LIMA,ALLAN JEFFERSON BITAR LIMA,ALLAN BITAR,
JACKSON,JACKSON SOUSA AZEVEDO,JACKSON AZEVEDO,
JOAO BERNARDES,JOAO BERNARDES SANTOS,JOAO,
ANA CUNHA,ANA MARIA SOCORRO CUNHA COSTA,DR ANA CUNHA,
EDMILSON,EDMILSON BRITO RODRIGUES,EDMILSON RODRIGUES,
EVERALDO EGUCHI,EVERALDO JORGE MARTINS EGUCHI,DELEGADO FEDERAL EGUCHI,
JOSE PRIANTE,JOSE BENITO PRIANTE JUNIOR,PRIANTE,
EGUCHI,EVERALDO JORGE MARTINS EGUCHI,DELEGADO FEDERAL EGUCHI,
DOMINGOS,DOMINGOS GUEDES NETO,DOMINGOS ENFERMEIRO,
MAURICIO,JOSE MAURICIO ANDRADE CAVALCANTI JUNIOR,MAURICIO CAVALCANTI,
FIDENCIO,FIDENCIO CAMPOS JUNIOR,DR FIDENCIO,
MURILO,MURILO FERREIRA SOUSA,MURILO SOUSA,
PRETINHO,SEBASTIAO PRETINHO FERREIRA SILVA,PRETINHO CUIBANO,
DEUSIVALDO PIMENTEL,DEUSIVALDO SILVA PIMENTEL,AMIZADE,
ELIZANE SOARES,ELIZANE SOARES SILVA,ELIZANE,
PAULO TITAN,PAULO SERGIO RODRIGUES TITAN,TITAN,
MYLENE COSTA,MYLENE COSTA SILVEIRA,DRA MYLENE,
ALACID,JOSE ALACID SILVA,PROFESSOR ALACID,
PEDRO ABREU,PEDRO MARCELINO ABREU SOUZA,DR PEDRO ABREU,
PATRICIA MENDES,PATRICIA RONIELLY RAMOS ALENCAR MENDES,PATRICIA,
JEAN,JEAN CARLOS RIBEIRO SILVA,JEAN CARLOS,
ARILDO,ARILDO NERES,ARILDO ESCRIMAT,
JOSEMIRA GADELHA,JOSEMIRA RAIMUNDA DINIZ GADELHA,JOSEMIRA,
ALCIDES BARRA,ALCIDES ABREU BARRA,ALCIDES,
ARIELTON,ARIELTON SILVA,ARIELTON CONTADOR,
TINE,FRANCINEIA AGUIAR FONTINELI,LORA,
ULISSES,JOSE ULISSES NUNES OLIVEIRA,DR ULISSES,
HUGO,ALCIO HUGO GOMES MOTA,HUGO MOTA,
MANOEL VELOSO,MANOEL CLAUDIO FURTADO VELOSO,DOUTOR VELOSO,
IRISMAR MELO,IRISMAR NASCIMENTO ARAUJO MELO,IRISMAR,
RIGLER ARAGAO,RIGLER COSTA ARAGAO,PROFESSOR RIGLER,
HERCULES,HERCULES BENTES SOUZA,HERCULES SOUZA,
WELSON ARRUDA,WELSON JOSE SANTOS ARRUDA,WELSON,
MARIA CARMO,MARIA CARMO MARTINS LIMA,MARIA,
VALDIR MATIAS,VALDIR MATIAS AZEVEDO MARQUES JUNIOR,VALDIR MATIAS JUNIOR,
VALDIR,VALDIR MATIAS AZEVEDO MARQUES JUNIOR,VALDIR MATIAS JUNIOR,
DARCI,DARCI FRANCA RODRIGUES,PROFESSORA DARCI,
MARCELO B SILVA,MARCELO BARRETO SILVA,MARCELO BARRETO,
AURENICE,AURENICE CORREA RIBEIRO,AURENICE RIBEIRO,
ARTUR BRITO,ARTUR JESUS BRITO,ARTUR JESUS,
ELIANE,ELIANE ALVES SILVA,ELIANE LIMA,
JOB,JOB XAVIER PALHETA JUNIOR,JOB JUNIOR,
NOE,NOE XAVIER RODRIGUES PALHETA,NOE PALHETA,
CAMILLE,CAMILLE MACEDO PAIVA VASCONCELOS,CAMILLE VASCONCELOS,
HORACIO,HORACIO ATAIDE MONTEIRO,HORACIO MONTEIRO,
AFIF,AFIF AL JAWABRI,AFIF JAWABRI,
VALMIR MARIANO,VALMIR QUEIROZ MARIANO,VALMIR,
RUBENS MORAES,RUBENS MOTTA AZEVEDO MORAES JUNIOR,DOUTOR RUBENS,
RUBENS,RUBENS MOTTA AZEVEDO MORAES JUNIOR,DOUTOR RUBENS,
MARIDE,MARIDE GOMES SILVA,MARIDE GOMES,
KELEN ADRIANA,KELEN ADRIANA COSTA COELHO MESQUITA,PRA KELEN ADRIANA,
ZACARIAS,ZACARIAS ASSUNCAO VIEIRA MARQUES,ZACARIAS MARQUES,
VALDEIR,VALDEIR JESUS SILVA,VALDEIR UNIAO,
SIMAO,GILMAR SIMAO DADALT,SIMAO DADALT,
JORGE KALLIL,KALLIL JORGE NASCIMENTO FERREIRA,DR KALLIL,
JOAO CAPIBERIBE,JOAO ALBERTO RODRIGUES CAPIBERIBE,CAPI,
ARQUIMEDES,ARQUIMEDES AMERICO BACELAR,ARQUIMEDES BACELAR,
VILENE,VILENE SIQUEIRA SILVA,VILENE SIQUEIRA,
SANDRO,SANDRO MORETE PEREIRA,DR SANDRO,
ALINE LACERDA,ALINE LEONIDAS SOUSA LACERDA,DRA ALINE,
VALDEMIR,VALDEMIR ROCHA VIANA,VALDEMIR VIANA,
MARIA ALVES,MARIA ALVES MUNIZ,SIMPLESMENTE MARIA,
LINALDO ALBINO,LINALDO ALBINO SILVA,DR LINALDO ALBINO,
CLAUDIME LIMA,CLAUDIME ARAUJO LIMA,CLAUDIME,
ANTONIO CARLOS,ANTONIO CARLOS RESENDE SILVA,ANTONIO CARLOS RESENDE,
ARNOLDO,ARNOLDO REIS PEREIRA PONTES,ARNOLDO FRANGO,
EURANDINO VALERO,EURANDINO VALERO MARTINS,ERONDINO VALERO,
OLIVIA,OLIVIA CARVALHO CALDAS,OLIVIA CALDAS,
ISMAEL,ISMAEL MONTEIRO COSTA,ISMAEL MONTEIRO,
MARIA FELIX,MARIA FELIX RODRIGUES SANTOS,DRA MARIA FELIX,
CAMYLA SANTOS,CAMYLA JANSEN PEREIRA SANTOS,DR CAMYLA,
CAMYLA JANSEN,CAMYLA JANSEN PEREIRA SANTOS,DR CAMYLA,
JOFRAN BRAGA,JOFRAN BRAGA COSTA,JOFRAN BRAGA JB,
LUIZA,LUIZA COUTINHO MACEDO,LUIZA COUTINHO,
CIRINEU,CIRINEU RODRIGUES COSTA,CIRINEU COSTA,
TINO CASTRO,CONSTANTINO FERREIRA CASTRO NETO,CONSTANTINO CASTRO,
ARNALDO,ARNALDO RODRIGUES REIS,PROF ARNALDO RODRIGUES,
ARNALDO RODRIGUES,ARNALDO RODRIGUES REIS,PROF ARNALDO RODRIGUES,
HIGOR ALMEIDA,HIGOR HEIDER ALMEIDA LIMA,HIGOR,
MAGNO BACELAR,MAGNO AUGUSTO BACELAR NUNES,DR MAGNO,
DOUGLAS,DOUGLAS FONSECA BRANDAO,DOUGLAS BRANDAO,
AMERICO SOUSA,AMERICO SOUSA SANTOS,AMERICO,
VAL,EDVALDO ALVES SILVA,VAL CARA LEGAL,
JOSIMAR,JOSIMAR ALVES OLIVEIRA,JOSIMAR SERRARIA,
VALMIRA,VALMIRA MIRANDA SILVA BARROSO,VALMIRA MIRANDA,
ANTONIO CARLOS,ANTONIO CARLOS PEREIRA OLIVEIRA,DR ANTONIO CARLOS,
MARCONE,MARCONE COSTA FRANCO,MARCONE FRANCO,
LEO PAZ,LEONARDO FONSECA PAZ,LEONARDO PAZ,
ARNOBIO,ARNOBIO ALMEIDA MARTINS,ARNOBIO CARRO VELHO,
ROGERIO,ROGERIO BEZERRA ALMEIDA,DR ROGERIO,
ROGERIO ALMEIDA,ROGERIO BEZERRA ALMEIDA,DR ROGERIO,
BETANIA,MARIA BETANIA SOUZA FELIX,PROFESSORA BETANIA,
MARINALDO,MARINALDO ALEXANDRE SILVA,MARINALDO GESSO,
ERLANIO,ERLANIO FURTADO LUNA XAVIER,ERLANIO XAVIER,
ASSIS RAMOS,FRANCISCO ASSIS ANDRADE RAMOS,ASSIS,
SEBASTIAO MADEIRA,SEBASTIAO TORRES MADEIRA,MADEIRA,
SEBASTIAO,SEBASTIAO TORRES MADEIRA,MADEIRA,
MARIA JOSE,MARIA JOSE REGO CARVALHO,MARIA JOSE CARVALHO,
JUNIOR,JOSUE PINHO SILVA JUNIOR,DR JUNIOR,
RAFAEL,RAFAEL LIMA OLIVEIRA,DR RAFAEL,
EUDES,EUDES SILVA BARROS,EUDES BARROS,
BRUNO CARDOSO,ANTONIO BRUNO CARDOSO SANTOS,PETECA,
DAYVISON,DAYVISON RIBEIRO SOARES,DAYVISON POSTO,
JESIEL ARAUJO,JESIEL LOPES ARAUJO,JESIEL,
SELITON,SELITON MIRANDA MELO,SELITON MIRANDA,
VILIANE COSTA,VILIANE NUNES OLIVEIRA COSTA,VILIANE,
PAULA AZEVEDO,MARIA PAULA AZEVEDO DESTERRO,PAULA,
DARIO SAMPAIO,DARIONILDO SILVA SAMPAIO,DARIO,
ALDEAO,ALDEAO JORGE SILVA,DR ALDEAO,
VAL,VALDINE CASTRO CUNHA,VAL CUNHA,
REGINA STELA,REGINA STELA CORREIA OLIVEIRA,REGINA,
ENOQUE,ENOQUE FERREIRA MOTA NETO,ENOQUE MOTA,
MATHEUS,MATHEUS MOTA GONCALO,MATHEUS MOTA,
ASSAIANTE,MARCUS ALEXANDRE MARINHO ASSAIANTE,ALEXANDRE ASSAIANTE,
HUMBERTO,HUMBERTO CARLOS VALE FEITOSA,DR HUMBERTO,
GERALDO AMORIM,JOSE GERALDO AMORIM PEREIRA,DR GERALDO AMORIM,
LEONARDO SA,LEONARDO SARMENTO PIRES SA,DR LEONARDO SA,
LUCIANO,JOAO LUCIANO SILVA SOARES,LUCIANO GENESIO,
JEAN VELOSO,JEAN ABRANTES VELOSO,JEAN ABRANTES,
RUGGERO FELIPE,RUGGERO FELIPE MENEZES SANTOS,DR RUGGERO FILIPE,
SALDANHA,MARCOS MARQUES SALDANHA,SALDANHA ROSARIO,
ZEZILDO,ZEZILDO ALMEIDA JUNIOR,ZEZILDO ALMEIDA,
LOBATO,JOAO JORGE WEBA LOBATO,DR LOBATO,
ANA CLAUDIA,ANA CLAUDIA COSTA VIANA,ANINHA,
ISAAC DIAS FILHO,ISAAC RUBENS BRITTO DIAS FILHO,ISAAC FILHO,
EDSON,EDSON FERREIRA BATISTA,EDSON TOTONHO,
ALEXANDRE,ALEXANDRE MAGNO PEREIRA GOMES,DR ALEXANDRE,
GILVANA,GILVANA EVAGELISTA SOUZA,GILVANA ZE MARIO,
DUARTE JUNIOR,HILDELIS SILVA DUARTE JUNIOR,DUARTE,
BIRA PINDARE,UBIRAJARA PINDARE ALMEIDA SOUSA,BIRA,
