candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,wrong
KLEBER RABELO,JOSE CLEBER BARROS RABELO,CLEBER RABELO,
ANDREIA SAMPAIO,LUCIANNE ANDREA JESUS SANTOS SAMPAIO,ANDREA SAMPAIO,
MARCELO RODRIGUES,MARCELO RODRIGUES BARBOSA,MARCELO RORIGUES,
MARILIA ARREAS,MARILIA VALENCA ROCHA ARRAES ALENCAR,MARILIA ARRAES,
MARCELO SANTANA,MARCELINO JOSE GUIMARAES SANTANA,MARCELLO SANTANA,
TIAGO GILLENO,THIAGO GILLENO SALES OLIVEIRA,THIAGO GILLENO,
RIAN BARBOSA,SALMON RIAN SARAIVA BARBOZA,RIAN BARBOZA,
EDNALDO MOURA,EDINALDO OLIVEIRA MOURA,EDINALDO MOURA,
ALDIR BORGES,ALDI BORGES SANTOS,ALDI BORGES,
GIRLEI TITI,GIRLEY GOMES COELHO,GIRLEY TITI,
MINORU KINPA,MINORU MARTINS KINPARA,MINORU KINPARA,
ESDON MAGALHAES,JOSE EDSON MAGALHAES FELIX,EDSON MAGALHAES,
ADRIANA CAVALCANTI,ARIANA CAVALCANTI SANTOS,ARIANA CAVALCANTI,
JULIANA MATEUS,JULLIANA MATEUS RODRIGUES RAMALHO,JULLIANA MATEUS,
JEFFEERSON RODRIGUES,JEFFERSON RODRIGUES SILVA,JEFFERSON RODRIGUES,
ZE OSNIR,JOSE JESUS SANTOS,ZE OSNI,
MARIA STELLA,MARIS STELLA NOVAES,MARIS STELLA,
GRACA FONTES,MARIA GRACAS MARINATO FORTES SILVA,GRACA FORTES,
CIDE ROCHA,MARIA APARECIDA ROCHA CONCEICAO,CIDA ROCHA,
IRCAY BALTAR,IRACY CARVALHO MACHADO BALTAR FILHA,IRACY BALTAR,
VIRMONDES CRUVINIEL,VIRMONDES BORGES CRUVINEL FILHO,VIRMONDES CRUVINEL,
GLAUBER ANDRADE,GLAUBERT VINICIUS ANDRADE,GLAUBERT ANDRADE,
LICE ROCHA,ILCE ALVES ROCHA PERDIGAO,ILCE ROCHA,
VANDER MASSON,VANDER ALBERTO MASSON,VANDER MASSOM,
ENRIC LAUREANO,ENRIC JUVENAL COSTA LAURIANO,ENRIC LAURIANO,
GUSTAVO SEFFER,GUSTAVO BEMERGUY SEFER,GUSTAVO SEFER,
THAIGO ARAUJO,THIAGO ARAUJO,THIAGO ARAUJO,
MARCILIO FERRAZ,MARCILLIO JERONYMO ALENCAR FERRAZ,MARCILLIO FERRAZ,
