info_muni,candidate,correction,,,,,,
ITUMBIARA,PROFESSOR ALFREDO,NA,,,,,,
ITUMBIARA,ROGERIO REZENDE1,ROGERIO REZENDE,,,,,,
ITUMBIARA,JUNIOR PASTORI,NA,,,,,,
JESUÍTAS,JUNIOR WEILLER,NA,,,,,,
JESUÍTAS,NEIA SOUZA,NA,,,,,,
JIQUIRIÇÁ,CASCALHO,NA,,,,,,
JIQUIRIÇÁ,VALDEMAR,NA,,,,,,
JIQUIRIÇÁ,BARRETO,NA,,,,,,
JIQUIRIÇÁ,GILSON PAULO,NA,,,,,,
MACAÍBA,DELEGADO NORMANDO,NORMANDO FEITOSA,,,,,,
MACAÍBA,MARILIA DIAS,NA,,,,,,
MACAÍBA,NORMANDO FEITOSA,NA,,,,,,
MACAÍBA,EMIDIO JUNIOR,NA,,,,,,
MACAÍBA,GERSON LIMA,NA,,,,,,
MACAÍBA,CAND PREF,NA,,,,,,
MACAÍBA,FERNANDO CUNHA,NA,,,,,,
MACAÍBA,DENILSON GADELHA,NA,,,,,,
MACAÍBA,JANSSEN MOTOS,NA,,,,,,
MACAÍBA,NETINHO FRANCA,NA,,,,,,
MACAÍBA,AILTON MANGABEIRA,NA,,,,,,
MACAÍBA,AURI SIMPLICIO,NA,,,,,,
MACAÍBA,JOSE ALDENIR,NA,,,,,,
MACAÍBA,JANSEN MOTOS,NA,,,,,,
MACAÍBA,BOLINHA FEDERAL,NA,,,,,,
MACAÍBA,JANSSEN,JANSSEN MOTOS,,,,,,
MACAÍBA,ALDENIR,JOSE ALDENIR,,,,,,
NATAL,SANDRO PIMENTEL,NA,,,,,,
NATAL,ALVARO DIAS,NA,,,,,,
NATAL,KELPS LIMA,NA,,,,,,
NATAL,BRUNO GIOVANNI,NA,,,,,,
NATAL,PROFESSOR CARLOS ALBERTO,NA,,,,,,
NATAL,HERMANO MORAIS,NA,,,,,,
NATAL,ALEXANDRE MOTTA,NA,,,,,,
NATAL,EUDIANE MACEDO,NA,,,,,,
NATAL,GENERAL GIRAO,NA,,,,,,
NATAL,NATALIA BONAVIDES,NA,,,,,,
NATAL,CORONEL AZEVEDO,NA,,,,,,
NATAL,CARLOS EDUARDO ALVES,NA,,,,,,
NATAL,FERNANDO PINTO,NA,,,,,,
NATAL,LUIZ ALMIR,NA,,,,,,
NATAL,PRETO AQUINO,NA,,,,,,
NATAL,NINA SOUSA,NA,,,,,,
NATAL,CARLOS ALBERTO,PROFESSOR CARLOS ALBERTO,,,,,,
NAZÁRIA,UBALDO NOGUEIRA,NA,,,,,,
NAZÁRIA,OSVALDO BONFIM,NA,,,,,,
NAZÁRIA,LUIS CARLOS,NA,,,,,,
NAZÁRIA,MARCELO FONSECA,NA,,,,,,
PARAMIRIM,DR JULIO,NA,,,,,,
PARAMIRIM,GILBERTO BRITO,NA,,,,,,
PARNAMIRIM,ROSANO TAVEIRA,NA,,,,,,
PARNAMIRIM,NILDA,NA,,,,,,
PARNAMIRIM,ELIENAI CARTAXO,NA,,,,,,
PARNAMIRIM,MAURICIO MARQUES,NA,,,,,,
