NM_UE,candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,bad,empty
AGUA AZUL DO NORTE,VANDINHO,ISVANDIRES MARTINS RIBEIRO,VANDIN,,
ESPIRITO SANTO,TONINHO BRANCO,ANTONIO FIGUEIREDO SOUZA NETO,TONHO BRANCO,,
ESPIRITO SANTO,GARIBALDI LEITE,GARIBALDE LEITE OLIVEIRA,GARIBALDE LEITE,,
SAO MIGUEL,"DR, DARIO",DARIO VIEIRA ALMEIDA,DR DARIO,,
SAO MIGUEL,ROBERTO CHICO BERNADINO,FRANCISCO ROBERTO SOUZA,ROBERTO CHICO BERNARDINO,,
GALINHOS,ELCINHO,MARIO HELISON SILVA LIMA,ECINHO,,
SERRA NEGRA DO NORTE,JARBAS FARIAS,JARBAS FARIA ARAUJO,JARBAS FARIA,,
SERRA NEGRA DO NORTE,ALISSON,ALYSSON MOISES MEDEIROS,ALYSSON,,
RECIFE,PRICILA KRAUSE,PRISCILA KRAUSE BRANCO,PRISCILA KRAUSE,,
PIRIPIRI,LUIS MENEZES,LUIZ CAVALCANTE E MENEZES,LUIZ MENEZES,,
MIGUEL ALVES,DRA SALATE,MARIA SALETE REGO MEDEIROS PEREIRA SILVA,DRA SALETE,,
CANSANCAO,ARI ALMEIRINDO,ARIVALDO SOUZA PEREIRA,ARI ALMERINDO,,
CAMPO GRANDE,CHIQINHO TELLES,FRANCISCO ALMEIDA TELES,CHIQUINHO TELLES,,
CAMPO GRANDE,PEDRINHO ESPINA,JOSE PEDRO SPINA MOREIRA,PEDRINHO SPINA,,
CAMPO GRANDE,MARQUNHOS TRAD,MARCOS MARCELLO TRAD,MARQUINHOS TRAD,,
CAMPO GRANDE,ELISEU AMARILHA,ELIZEU AMARILHA MATTOS,ELIZEU AMARILHA,,
CAMPO GRANDE,CHIQUINHOS TELLES,FRANCISCO ALMEIDA TELES,CHIQUINHO TELLES,,
CAMPO GRANDE,JOEL FAUSTINHO,JOEL LIDIO FAUSTINO,JOEL FAUSTINO,,
CAMPO GRANDE,ALIZEU AMARILHA,ELIZEU AMARILHA MATTOS,ELIZEU AMARILHA,,
TAILANDIA,REINALDO,RENALDO ANTONIO SOLIGO NETTO,RENALDO,,
ANANINDEUA,JEFERSON LIMA,JEFFERSON ELY VALE LIMA,JEFFERSON LIMA,,
ITAGUAI,ALEXANDRE VALE,ALEXANDRE VALLE CARDOSO,ALEXANDRE VALLE,,
NATAL,FERNANDO MANEIRO,FERNANDO WANDERLEY VARGAS SILVA,FERNANDO MINEIRO,,
PATU,MAGOLIA SOLANO,IRENE MAGNOLIA FERNANDES LOPES SOLANO,MAGNOLIA SOLANO,,
SAO PAULO DO POTENGI,TITICA,FRANCISCO JOSE LIMA,TITICO,1,
SAO PAULO DO POTENGI,GETILIO,GETULIO BARBOSA ANTUNES,GETULIO,,
SAO PAULO DO POTENGI,NELSON,NEILSON RODRIGUES AZEVEDO,NEILSON,1,
SAO PAULO DO POTENGI,ALYSSON,ALLYSSON LINDALRIO MARQUES GUEDES,ALLYSSON,,
MAXARANGUAPE,LUIZ EDUARDO,LUIS EDUARDO BENTO SILVA,LUIS EDUARDO,,
DOUTOR SEVERIANO,ASSIS SANTO,FRANCISCO ASSIS OLIVEIRA,ASSIS SANTA,,
BOA SAUDE,DR WELINGTON,JOSE WELLINGTON ALVES ROCHA,DR WELLINGTON,,
SAO MIGUEL DO GOSTOSO,MIGUEL TEXEIRA,MIGUEL RODRIGUES TEIXEIRA,MIGUEL TEIXEIRA,,
MONTE ALEGRE,MARRON,ANTONIO FELIX SILVA,MARROM,,
MONTE ALEGRE,NEGA TIQUINHO,MARIA JOSE GONZAGA,NEGA TIQUINHA,,
MONTE ALEGRE,SEVERINI RODRIGUES,SEVERINO RODRIGUES SILVA,SEVERINO RODRIGUES,,
MONTE ALEGRE,GRACA MAQUES,MARIA GRACAS MARQUES SILVA,GRACA MARQUES,,
SENADOR ELOI DE SOUZA,GRINALDE,GRIMALDE FERREIRA LINS,GRIMALDE,,
CANDEIAS DO JAMARI,TONINHO PT,ANTONIO ONOFRE SOUZA,TONIN PT,,
PORTO VELHO,INGRID GURGEL,INGRIDE TELASSIN GURGEL BARRETO,INGRIDE GURGEL,,
PRESIDENTE MEDICI,LURDINHA,MARIA LOURDES DANTAS ALVES,LOURDINHA,,
PRESIDENTE MEDICI,ANDERSON,JADERSON COLARES ROCHA,JADERSON,1,
ARIQUEMES,LOURIVAL AMORIM,LORIVAL RIBEIRO AMORIM,LORIVAL AMORIM,,
PIMENTA BUENO,BOZZO,JOAO BATISTA ROCHA,BOZO,,
PIMENTA BUENO,RUBENS JORN,RUBENS GOMES SILVEIRA,RUBENS JORNAL,,
PIMENTA BUENO,CIDA,CIDINEIA MACIEL MACHADO,CIDY,1,
OURO PRETO DO OESTE,ROSARIO HELENA,ROSARIA HELENA OLIVEIRA LIMA,ROSARIA HELENA,,
PORTO VELHO,LEO MORAIS,LEONARDO BARRETO MORAES,LEO MORAES,,
PORTO VELHO,PORFIRIO COSTA,PORFIRIO COSTA E SILVA,PORFORIO COSTA,,
PORTO VELHO,ZQUINHA ARAUJO,JOSE FRANCISCO ARAUJO,ZEQUINHA ARAUJO,,
VILHENA,JOSUE DANADON,JOSUE DONADON,JOSUE DONADON,,
COLORADO DO OESTE,JOSEMAR BEATO,JOSEMAR BEATTO,JOSEMAR BEATTO,,
PORTO VELHO,O CAMPO,ANTONIO OCAMPO FERNANDES,OCAMPO,,
PORTO VELHO,IZAQUE MACHADO,ISAQUE LIMA MACHADO,ISAQUE MACHADO,,
JI-PARANA,EDVALDO GOMES,EDIVALDO SOUZA GOMES,EDIVALDO GOMES,,
JI-PARANA,IDA,LIBERATA SIRLEI URBANO,BIA,1,
JI-PARANA,PAULA MOURA,PAULO SERGIO MOURA,PAULO MOURA,1,
JI-PARANA,LINCON ASTRE,LINCOLN ASSIS ASTRE,LINCOLN ASTRE,,
JI-PARANA,KLECIUS MODESTA,KLECIUS MODESTO ARAUJO,KLECIUS MODESTO,,
VILHENA,ROSANI DONADOR,ROSANI TEREZINHA PIRES COSTA DONADON,ROSANI DONADON,,
GOVERNADOR JORGE TEIXEIRA,CIDA NENEM,MARIA APARECIDA TORQUATO SIMON,CIDA NENE,,
JARU,HORLANDO,ORLANDO COSTA ANJOS,ORLANDO,,
ITUPEVA,MARCOS MARCHI,MARCO ANTONIO MARCHI,MARCAO MARCHI,,
LAGOA DA CONFUSAO,NETO LINDO,LEONCIO LINO SOUSA NETO,NETO LINO,,
UBERABA,PAULO PIAUI,PAULO PIAU NOGUEIRA,PAULO PIAU,,
PATOS DE MINAS,JOSE ESTAQUIO,JOSE EUSTAQUIO RODRIGUES ALVES,JOSE EUSTAQUIO,,
GOVERNADOR VALADARES,GLEDSON GUETAO,GLEDSTON GOMES ARAUJO,GLEDSTON GUETAO,,
CARAUBAS,KAROL FERNANDES,BARBARA CAROLINA FERNANDES MOTA,CAROL FERNANDES,,
ARAPIRACA,LINDOMAR FERREIRA,LINDOMAR FERREIRA QUEIROZ,LINDOMAR FFERREIRA,,
PIRIPIRI,LUIZ MENESES,LUIZ CAVALCANTE E MENEZES,LUIZ MENEZES,,
PARNAIBA,DR VINICIOS,CARLOS VINICIUS ALMEIDA BATISTA,DR VINICIUS,,
ALTOS,EXPEDITO PACIFICO,ESPEDITO MENDES PACIFICO,ESPEDITO PACIFICO,,
PIRIPIRI,REVETRIO SOUSA,REVETRIO SANTOS SOUZA,REVETRIO SOUZA,,
PIRIPIRI,VALDINEI,VALDINER SATURNINO SOUSA,VALDINER,,
AGUA BRANCA,MARGARETE,MARGARETH SOUSA PIMENTEL,MARGARETH,,
CRISTALANDIA DO PIAUI,CARLINHO,CARLOS ROSA SOUZA,CARLINHOS,,
BERTOLINIA,PROFESSOR JONAS,JONES WERLEN MIRANDA E SILVA,PROFESSOR JONES,1,
SAO RAIMUNDO NONATO,ELIZETE SOUSA,MARIA ELIZETE SOUZA,ELIZETE SOUZA,,
MORRO DO CHAPEU DO PIAUI,BERNARDO SIQUEIRA,BERNARDO SIRQUEIRA SILVA,BERNARDO SIRQUEIRA,,
LUIS CORREIA,NENEM ZE NELSOM,MARIA LIVRAMENTO NOBREGA BRITO,NENEM ZE NELSON,,
CAMPO MAIOR,MANINHO PEREIRA,JOSE FRANCISCO SAVIO MIRANDA PEREIRA,MANIN PEREIRA,,
CAMPO MAIOR,EDIVALDO LIMA,EDVALDO SILVA LIMA,EDVALDO LIMA,,
CURIMATA,VALDECI JUNIOR,VALDECIR RODRIGUES ALBUQUERQUE JUNIOR,VALDECIR JUNIOR,,
TERESINA,TERESA BRITO,TERESA SANTOS SOUSA BRITTO,TERESA BRITTO,,
TERESINA,QUEM QUEM,FRANCISCO CHAGAS COSTA OLIVEIRA,QUEMQUEM,,
FOZ DO IGUACU,PHELIPPE MANSUR,PHELIPE ABIB MANSUR,PHELIPE MANSUR,,
SOBRAL,FRANCISQUINHA TORTO,FRANCISCA RIBEIRO AZEVEDO AGUIAR,FRANSQUINHA TORTO,,
UBAJARA,ZEZINHO UBEJARA,JOSE ROMANO NASCIMENTO,ZEZINHO UBAJARA,,
GOIANIA,JOSE NETO,JOSE NICOLAU OLIVEIRA NETO,JOSE NETHO,,
GOIANIA,JOSE NELTHO,JOSE NICOLAU OLIVEIRA NETO,JOSE NETHO,,
ITAPURANGA,DAVE SOARES,DAVES SOARES SILVA,DAVES SOARES,,
RIO DE JANEIRO,ALESSANDRO MOLEN,ALESSANDRO LUCCIOLA MOLON,ALESSANDRO MOLON,,
SAO PAULO,CELSO RUSSOMANO,CELSO UBIRAJARA RUSSOMANNO,CELSO RUSSOMANNO,,
SAO CARLOS,PAULO ATOMANI,PAULO ROBERTO ALTOMANI,PAULO ALTOMANI,,
AGUA BOA,GILNEI MACARIO,GILNEI MACARI,GILNEI MACARI,,
BRASNORTE,TARCISIO,EUDES TARCISO AGUIAR,TARCISO,,
JACIARA,HEMERSON,EMERSON GUIMARAES SILVA,EMERSON,,
LUCAS DO RIO VERDE,ROBERTO BARRA,ROBERTO CARVALHO BARRA,ROBERTO BARRRA,,
LUCAS DO RIO VERDE,GABRIEL ELETRICISTA,LUIZ GABRIEL COSTA,GABRIEL ELETRECISTA,,
CUIABA,CHICO,FRANCISCO PEDROSO SILVA,CHICAO,,
ROSARIO OESTE,TITO XAVIER,BENEDITO ORLANDO XAVIER,TITO XAVIEL,,
ROSARIO OESTE,JONAS,JOANA NUNES SILVA BOTELHO,JOANA,1,
CHAPADA DOS GUIMARAES,OSMAR FROMER,OSMAR FRONER MELLO,OSMAR FRONER,,
SANTO ANTONIO DO LESTE,ELAINE,ELIANE PEREIRA LEITE,ELIANE,1,
CAMPO VERDE,DANTE,ISNEIVALDO DELMONDES SILVA,DANTTE,,
CAJAZEIRAS,DRA DENISE,FRANCISCA DENISE ALBUQUERQUE OLIVEIRA,DRª DENISE,,
OLINDA,FLAVIO URQUIZA,FLAVIO URQUIZA GODOI,FLAVIO URQUISA,,
OLINDA,JARDSON,JADSON JOSE BARBOSA,JADSON,,
OLINDA,BIAL,SEVERINO BARBOSA SOUZA,BIAI,1,
OLINDA,ZE BIO,SEVERINO CANDIDO SILVA,ZE BIU,,
OLINDA,NILDO GUABIRABA,IVANILDO FRANCISCO GUABIRABA,NIDO GUABIRABA,,
OLINDA,JESUINA,JESUINO GOMES ARAUJO NETO,JESUINO,1,
OLINDA,ISAC FAUSTINO,ISAAC FAUSTINO SILVA,ISAAC FASTINO,,
OLINDA,JOSELINA,JOVELINA AQUINO SOUZA,JOVELINA,1,
SANTO ANDRE,AILTON LJMA,AILTON JOSE LIMA,AILTON LIMA,,
SAO LUIS,EDVALDO HOLANDA JUNIOR,EDIVALDO HOLANDA BRAGA JUNIOR,EDIVALDO HOLANDA JUNIOR,,
JOAO LISBOA,EVALDO,IVALDO FREITAS GOMES,IVALDO,,
JOAO LISBOA,MARIA TERESINHA,MARIA VALDENE RODRIGUES FALCAO,MARIA TEREZINHA,,
PRESIDENTE DUTRA,TONINHO VELOSO,ANTONIO NUNES VELOSO,TOINHO VELOSO,,
SAO LUIS,ELIZIANE GAME,ELIZIANE PEREIRA GAMA FERREIRA,ELIZIANE GAMA,,
SANTO ANTONIO DO GRAMA,JERFERSON,JEFERSON RUSSO MIRANDA,JEFERSON,,
ULIANOPOLIS,KELLY DASTRO,KELLY CRISTINA DESTRO,KELLY DESTRO,,
BREU BRANCO,BARREIRINHA,ARMENIO OLIVEIRA BARREIRINHAS,BARREIRINHAS,,
PLACAS,GILERTO LEITE,GILBERTO LEITE FERREIRA,GILBERTO LEITE,,
SOURE,GUTO GOUVEIA,CARLOS AUGUSTO LIMA GOUVEA,GUTO GOUVEA,,
SOURE,NICK JUNIOR,OTAVIO SILVA NASCIMENTO JUNIOR,NIC JUNIOR,,
SAO LEOPOLDO,ARY VANNAZI,ARY JOSE VANAZZI,ARY VANAZZI,,
SAO LEOPOLDO,ANGELO SCHIMIDT,ANGELO SANDY SCHMIDT,ANGELO SCHMIDT,,
BELEM,LENI CAMPELO,LENY MAY SILVA CAMPELO,LENY CAMPELO,,
CAMPO GRANDE,MAGALI PICARELI,MAGALI MARLON PICARELLI,MAGALI PICARELLI,,
CAMPO GRANDE,ELIZEU DIONISIO,ELIZEU DIONIZIO SOUZA SILVA,ELIZEU DIONIZIO,,
SANTOS DUMONT,BEBETO LEITEIRA,CARLOS ALBERTO RAMOS FARIA,BEBETO LEITERIA,,
AGRESTINA,CARMEN MIRIAN,CARMEN MIRIAM AZEVEDO ALVES,CARMEN MIRIAM,,
BOM CONSELHO,DANILLO GODOY,DANNILO CAVALCANTE VIEIRA,DANNILO GODOY,,
CAMPO MOURAO,TAUILLO LEZELLI,TAUILLO TEZELLI,TAUILLO TEZELLI,,
GARUVA,DRA NIVEA,NIVIA MARIA COSTA ARAUJO ESTEVAM,DRA NIVIA,,
GRAVATA,OSVALDO ALVES,OSWALDO HELDER OLIVEIRA ALVES,OSWALDO ALVES,,
LOUVEIRA,KARMAGHIA,JOSE CARLOS KARMANGHIA MARTINS TOLEDO,KARMANGHIA,,
OLINDA,REILDO CALHEIRO,RENILDO VASCONCELOS CALHEIROS,RENILDO CALHEIROS,,
OLINDA,ISABEL URQUIZA,IZABEL URQUIZA GODOI ALMEIDA,IZABEL URQUIZA,,
PEDRA,SABASTIAO QUINO,SEBASTIAO ALMEIDA LIRA,SEBASTIAO QUINO,,
PETROLINA,ADALBERTO CAVALCANTE,ADALBERTO CAVALCANTI RODRIGUES,ADALBERTO CAVALCANTI,,
PETROLINA,ERINALDO LIMA,EDINALDO ALVES LIMA,EDINALDO LIMA,,
PETROLINA,ADACY AMORIM,ODACY AMORIM SOUZA,ODACY AMORIM,,
PONTAL DO PARANA,VIRGINIA,VERGINIA MARA PEDROSO,VERGINIA,,
SALGUEIRO,MARCELO AS,CARLOS MARCELO ARAUJO E SA,MARCELO SA,,
SENGES,ELIETTE JORGE,ELIETTI JORGE,ELIETTI JORGE,,
VERTENTES,ROMERO REAL,ROMERO LEAL FERREIRA,ROMERO LEAL,,
VERTENTES,IGOR MIRANDO,IGOR MIRANDA LEANDRO BEZERRA,IGOR MIRANDA,,
CRUZEIRO DO SUL,ILDERLEY CORDEIRO,ILDERLEI SOUZA RODRIGUES CORDEIRO,ILDERLEI CORDEIRO,,
SENA MADUREIRA,MARZINHO SERAFIM,OSMAR SERAFIM ANDRADE,MAZINHO SERAFIM,,
SENA MADUREIRA,MANO RUFINHO,JOSE RAIMUNDO SOUZA SILVA,MANO RUFINO,,
MANAUS,ARTHUR NETO,ARTHUR VIRGILIO CARMO RIBEIRO NETO,ARTUR NETO,,
IPIAU,DERALDINHO,DERALDINO ALVES ARAUJO,DERALDINO,,
GANDU,MARLEY IRISMA,MARLEI SOUZA MEDRADO,MARLEI IRISMA,,
BAIXO GUANDU,LESTENIO CARDOSO,LASTENIO LUIZ CARDOSO,LASTENIO CARDOSO,,
CACHOEIRO DE ITAPEMIRIM,VITOR COELHO,VICTOR SILVA COELHO,VICTOR COELHO,,
FUNDAO,ANDERSON PODRONI,ANDERSON PEDRONI GORZA,ANDERSON PEDRONI,,
BOM JESUS DO NORTE,ALUIIO TEIXEIRA,ALUIZIO TEIXEIRA SILVA,ALUIZIO TEIXERA,,
GOIANIA,JOVIAR ARANTES,JOVAIR OLIVEIRA ARANTES,JOVAIR ARANTES,,
GOIANIA,RUBENS DONIZETTI,RUBENS DONIZZETI PIRES,RUBENS DONIZZETI,,
PIO XII,PAULO VELESO,PAULO ROBERTO SOUSA VELOSO,PAULO VELOSO,,
MIRADOR,MARQUINHOS,MARCOS FABIO MOREIRA REIS,MARQUINHO,,
CONCEICAO DO LAGO-ACU,EALEXANDRE LAVEPEL,DIVINO ALEXANDRE LIMA,ALEXANDRE LAVEPEL,,
SAO LUIS,VALDERY BARROS,VALDENY BARROS,VALDENY BARROS,,
SANTO ANTONIO DO GRAMA,DR MARCOS,MARCO AURELIO RAMINHO,DR MARCO,,
CAMPO GRANDE,CORONEL DAVI,CARLOS ALBERTO DAVID SANTOS,CORONEL DAVID,,
RIBAS DO RIO PARDO,JOAO PERGOLO,JOAO RICARDO AZEVEDO PEGOLO,JOAO PEGOLO,,
NORTELANDIA,GERVASIO QUINTEIRO,GERVAZIO SIMEAO QUINTEIRO,GERVAZIO QUINTEIRO,,
BELEM,EDIMILSON RODRIGUES,EDMILSON BRITO RODRIGUES,EDMILSON RODRIGUES,,
PARAUAPEBAS,CHICO CORTINHAS,FRANCISCO ALVES SOUZA,CHICO CORTINAS,,
PICOS,FATIMA AS,MARIA FATIMA LACERDA SA BARROS,FATIMA SA,,
PICOS,RODRIGO P 2,RODRIGO SANTOS LIMA,RODRIGO P2,,
CAMPO MAIOR,DR MARCOS,MARCO ANTONIO MIRANDA PEREIRA,DR MARCO,,
CAMPO MAIOR,MANIM PEREIRA,JOSE FRANCISCO SAVIO MIRANDA PEREIRA,MANIN PEREIRA,,
CAMPO MAIOR,DR WALTER,VALTER LUIZ BATISTA SILVA,DR VALTER,,
CAMPO MAIOR,ANTONIO OUVIDIO,ANTONIO FRANCISCO SANTOS SOUSA,ANTONIO OVIDIO,,
CAMPO MAIOR,EVALDO LIMA,EDVALDO SILVA LIMA,EDVALDO LIMA,1,
PIRIPIRI,DEUEDE,FRANCISCO CHAGAS PASSOS CARVALHO,DEGUEDE,1,
PIRIPIRI,DEUEDE,JOSE SOUSA LUSTOSA,DUDE,1,
PICOS,HUGO VITOR,HUGO VICTOR SAUNDERS MARTINS,HUGO VICTOR,,
PICOS,IVANILDO NORDESTE,IVONILDO CORDEIRO SILVA,IVONILDO NORDESTE,,
PICOS,EVANDRO PATURI,EVANDRO LIMA MORAIS,EVANDO PATURI,,
PICOS,CREUZA NUNES,MARIA CREUSA NUNES BARBOSA,CREUSA NUNES,,
JAICOS,NENEM EDITE,OGILVAN SILVA OLIVEIRA,NENEN EDITE,,
FLORIANO,DIDI LOTECA,GEORGE EVERSON NUNES SILVA,DIDI LOTERICA,,
PICOS,ALDONAI VENANCIO,ADONAI VENANCIO SOUSA CASTRO,ADONAI VENANCIO,,
CAMPO MAIOR,MIZALEIA,MIZARLEIA APARECIDA LIMA ALMEIDA,MIZARLEIA,,
CAMPO MAIOR,ROGERIO LOIOLA,MARIO ROGERIO GOMES LOYOLA,ROGERIO LOYOLA,,
ESPERANTINA,DR ZE ANGELO,JOSE ANGELO RAMOS CARVALHO,DRº ZE ANGELO,,
ESPERANTINA,LUIZ ANA,LUIZ FERREIRA,LUIS ANA,,
ESPERANTINA,LUIZ DIONISIO,LUIS BORGES CARVALHO,LUIZ DIONIZIO,,
CAMPO MAIOR,AMILTON SEGUNDO,HAMILTON REIS SANTIAGO MATOS SEGUNDO,HAMILTON SEGUNDO,,
CAMPO MAIOR,SILVIA KAU,MARIA SILVIA BRITO,SILVIA CAU,,
PONTA GROSSA,JULIO KUELLER,JULIO FRANCISCO SCHIMANSKI KULLER,JULIO KULLER,,
TORITAMA,EDILSON TAVATES,EDILSON TAVARES LIMA,EDILSON TAVARES,,
OLINDA,ATONIO CAMPOS,ANTONIO RICARDO ACCIOLY CAMPOS,ANTONIO CAMPOS,,
GOIANA,OSWALDINHO,OSVALDO RABELO FILHO,OSVALDINHO,,
TERESINA,JOINHA,JONAS SANTOS FILHO,JONINHA,1,
OEIRAS,B MAROCAS,BENEDITO FERRAZ REGO,B MAROCA,,
DEMERVAL LOBAO,JUNIO CARVALHO,LUIS GONZAGA CARVALHO JUNIOR,JUNIOR CARVALHO,,
DEMERVAL LOBAO,JUSTICA,JUSTINA TERESINHA ROSSI RIBEIRO COSTA,JUSTINA,,
AGUA BRANCA,LINE MARIANE,LINE MARIANNE COSTA ANDRADE NASCIMENTO,LINE MARIANNE,,
AGUA BRANCA,DAVI BARBOSA,DAVID BARBOSA PESSOA,DAVID BARBOSA,,
AGUA BRANCA,LUIZ FAUTINO,LUIZ FAUSTINO SOUSA,LUIZ FAUSTINO,,
IBAITI,NROMINHA MARLEI,NORMA REGINA RUIZ FERREIRA,NORMINHA MARLEI,,
MACAE,IGOR SAQRDINHA,IGOR PAES NUNES SARDINHA,IGOR SARDINHA,,
NITEROI,FLAVIO SRAFINI,FLAVIO ALVES SERAFINI,FLAVIO SERAFINI,,
NOVA FRIBURGO,DRª GRACE,GRACE ROSE COSTA ARRUDA DOUTORIENDL,DRA GRACE,,
CEARA-MIRIM,EDINOLIA MELO,MARIA EDNOLIA CAMARA FERREIRA MELO,EDNOLIA MELO,,
RIO GRANDE,FABIO BRANO,FABIO OLIVEIRA BRANCO,FABIO BRANCO,,
TUBARAO,OLAVO FALCHETTI,JOAO OLAVIO FALCHETTI,OLAVIO FALCHETTI,,
TUBARAO,PEPE COLACO,FELIPPE LUIZ COLLACO,PEPE COLLACO,,
NOVA VENEZA,MARCOS SPILLERE,MARCOS AURELIO SPILERE,MARCOS SPILERE,,
ARAQUARI,MARQUINHOS,MARCOS MAIA VICENTE,MARQUINHO,,
MATAO,EDINARDO ESQUETINE,JOSE EDINARDO ESQUETINI,EDINARDO ESQUETINI,,
FERRAZ DE VASCONCELOS,IZIDORO,JOSE IZIDRO NETO,IZIDRO,1,
FERRAZ DE VASCONCELOS,DRA ELAINE,ELAINE APARECIDA BELLONI ABISSAMRA,DR ELAINE,,
SANTANA DE PARNAIBA,ELVIS CESAR,ELVIS LEONARDO CEZAR,ELVIS CEZAR,,
MONTE APRAZIVEL,RENATA SANTANNA,RENATA MORAES CASSIANO SANT'ANNA FACHIN,RENATA SANT'ANNA,,
CUBATAO,PROFESSOR WELLINGTON,WELINGHTON RIBEIRO SILVEIRA,PROFESSOR WELINGHTON,,
GUARAI,FRANCISCO JULIO,FRANCISCO JULIO PEREIRA SOBRINHO,FRANSCICO JULIO,,
LAJEADO,JAYME NATALYA BRINDES,JAIME LUCIO BATISTA,JAIME NATALYA BRINDES,,
MANAUS,VANESSA GRAZIOTIN,VANESSA GRAZZIOTIN,VANESSA GRAZZIOTIN,,
MANAUS,HERBERTH AMAZONAS,HERBERT AMAZONAS MASSULO,HERBERT AMAZONAS,,
MANAUS,LUZ CASTRO,LUIZ CASTRO ANDRADE NETO,LUIZ CASTRO,,
SAO FRANCISCO DO CONDE,IRMAO RONALD,RONALT OLIVEIRA SALES,IRMAO RONALT,,
MONTE SANTO,ZEVALDO,JOSE VALDO EVANGELISTA OLIVEIRA,ZE VALDO,,
QUEIMADAS,EDILEUZA MILITAO,EDILEUZA SILVA SOUZA,EDILEUZA MILTAO,,
TIMON,WILMA RESENDE,JOSE WILMA SILVA RESENDE,UILMA RESENDE,,
SAO JOAO DO PIAUI,ABEL LADIM,JOSE ABEL MODESTO PAES LANDIM,ABEL LANDIM,,
ARACARIGUAMA,LILI AYMAR,LILIANA MEDEIROS ALMEIDA AYMAR BECHARA,LILI AIMAR,,
SAO CAETANO DO SUL,GILBERO COSTA,GILBERTO COSTA MARQUES,GILBERTO COSTA,,
SAO CAETANO DO SUL,LUCIA DAL'MAS,LUCIA CRISTINA ROSARIO DAL MAS,LUCIA DAL MAS,,
SANTANA DE PARNAIBA,SILVIO PECCIOLI,SILVIO ROBERTO CAVALCANTI PECCIOLI,SILVINHO PECCIOLI,,
BONITO,REINAM LOURINHO,REINAN CEDRO OLIVEIRA,REINAN LOURINHO,,
CUIABA,PAULO MELLO,PAULO VIEIRA MELO,PAULO MELO,,
CUIABA,MARCELO BUSSIK,MARCELO EDUARDO BUSSIKI RONDON,MARCELO BUSSIKI,,
DOURADOS,GERALDO REZENDE,GERALDO RESENDE PEREIRA,GERALDO RESENDE,,
SANTO ANDRE,AITON LIMA,AILTON JOSE LIMA,AILTON LIMA,,
JOSE DE FREITAS,EDMILSON OLIVEIRA,EDIMILSON OLIVEIRA COSTA,EDIMILSON OLIVEIRA,,
BOM JESUS,JORGE LUIS,JORGE LUIZ SANTOS PEREIRA,JORGE LUIZ,,
BOM JESUS,ENIO ALVES,WENIO ALVES SANTOS,WENIO ALVES,,
ITUPORANGA,GEISON KURTS,GEISON KURTZ,GEISON KURTZ,,
MACAU,TULIO LEMES,TULIO BEZERRA LEMOS,TULIO LEMOS,,
MAUA,DONIZETE BRAGA,DONISETE PEREIRA BRAGA,DONISETE BRAGA,,
COSMOPOLIS,DR ANTONIO,ANTONIO FERNANDES NETO,"DR, ANTONIO",,
COSMOPOLIS,WELLINGTON GINNINI,WELLINGTON GIANNINI,WELLINGTON GIANNINI,,
DISTRITO FEDERAL,PROFESSORA FATIMA SOUZA,MARIA FATIMA SOUSA,FATIMA SOUSA,,
MARANHÃO,DR LEVI,JOSILEIA SANTIAGO,LEIA,1,
RIO GRANDE DO NORTE,PROFESSORA ANACELIA,ANA CELIA SIQUEIRA FERREIRA,ANA CELIA,,
RONDÔNIA,PASTOR ALUISIO VIDAL,ALUIZIO VIDAL FLOR,ALUIZIO VIDAL,,
SERGIPE,DR HENRICLAY,HENRI CLAY SANTOS ANDRADE,HENRI CLAY,,
PEDREIRAS,DR VALBER,WALBER RODRIGUES CRUZ,WALBER,,
PICOS,DR FATIMA AS,MARIA FATIMA LACERDA SA BARROS,FATIMA SA,,
MARANHÃO,SAMUEL CAMPELO,SAMOEL CAMPELO,SAMOEL ITAPECURU,,
AMAZONAS,VANESSA GRAZIOTIN,VANESSA GRAZZIOTIN,VANESSA,,
RIO DE JANEIRO,ROMARIO SOUSA FARIA,ROMARIO SOUZA FARIA,ROMARIO,,
MATO GROSSO DO SUL,ODILON OLIVEIR,ODILON OLIVEIRA,JUIZ ODILON,,
RIO GRANDE DO NORTE,JOANILSON PAULO REGO,JOANILSON PAULA REGO,DR JOANILSON,,
MATO GROSSO DO SUL,ODILON OLIVEIRO,ODILON OLIVEIRA,JUIZ ODILON,,
PIAUÍ,ROBERT RIOS MAGALHAS,ROBERT RIOS MAGALHAES,ROBERT RIOS,,
TOCANTINS,FARLEI MAYER,FARLEI MEYER,FARLEI O FEDERAL,,
SERGIPE,ALBERTO SAANTOS,ALBERTO SANTOS,BETINHO,,
BOQUIRA,MARCO TULIO VILAS BOAS,MARCO TULIO VILASBOAS,MARCO TULIO,,
FLÓRIDA,EMERSON PASTRI,EMERSON PASTRE,EMERSON PASTRE FIO,,
PRUDENTÓPOLIS,HELIO ZAIAS CONSECHEN JUNIOR,HELIO ZAIAS COSECHEN JUNIOR,HELINHO POSTO,,
PRUDENTÓPOLIS,DIVANZER BATISTA,DIVANZIR BATISTA,DIVO BATISTA,,
GENERAL SALGADO,EMANUEL RIBEIRO DESIDERIO,EMANUEL RIBEIRO DEZIDERIO,EMANUEL,,
GENERAL SALGADO,LUCIANO DIAS RODRIGUES,LUCIANA DIAS RODRIGUES,LUCIANA,,
