NM_UE,candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,bad,empty
PIAUÍ,LIMA,FRANCISCO CHAGAS LIMMA,LIMMA,,
PIAUÍ,IRACEMA POTELLA,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,IRACEMA PORTELLA,,
PIAUÍ,OSMAR JPUNIOR,OSMAR RIBEIRO ALMEIDA JUNIOR,OSMAR JUNIOR,,
PIAUÍ,RUBEM MARINS,RUBEM NUNES MARTINS,RUBEM MARTINS,,
PIAUÍ,MAURO TEPETY,MAURO EXPEDITO REIS FREITAS TAPETY,MAURO TAPETY,,
PIAUÍ,GUSTAVO NEVA,GUSTAVO SOUSA NEIVA,GUSTAVO NEIVA,,
PIAUÍ,AEDSON FERREIRA,EDSON CASTRO FERREIRA,EDSON FERREIRA,,
PARANÁ,CIDA BERGHETTI,MARIA APARECIDA BORGHETTI,CIDA BORGHETTI,,
PARANÁ,PROFESSOR JORGE BERNANDI,JORGE LUIZ BERNARDI,PROFESSOR JORGE BERNARDI,,
PARANÁ,ORGIER BUCHI,OGIER ALBERGE BUCHI,OGIER BUCHI,,
RIO GRANDE DO NORTE,HENRIGUE ALVES,HENRIQUE EDUARDO LYRA ALVES,HENRIQUE ALVES,,
RIO GRANDE DO NORTE,ROBERTO RANCONI,CARLOS ROBERTO RONCONI,ROBERTO RONCONI,,
RIO GRANDE DO NORTE,ROBINSON FARIAS,ROBINSON MESQUITA FARIA,ROBINSON FARIA,,
RIO DE JANEIRO,LUIS FERNANDO PEZAO,LUIZ FERNANDO SOUZA,LUIZ FERNANDO PEZAO,,
RIO DE JANEIRO,TARCISIO MOTA,TARCISIO MOTTA CARVALHO,TARCISIO MOTTA,,
RIO DE JANEIRO,JOSES BONIFACIO,JOSE BONIFACIO FERREIRA NOVELINO,JOSE BONIFACIO,,
RIO DE JANEIRO,MATTOS NASCIMENTOS,MATUSAEL NASCIMENTO,MATTOS NASCIMENTO,,
RIO DE JANEIRO,GABRIELLE BARCCI,GABRIELLE BURCCI ALVES REIS,GABRIELLE BURCCI,,
RIO DE JANEIRO,MARCELA TRINDADE,MARCELO FERNANDEZ TRINDADE,MARCELO TRINDADE,,
RIO DE JANEIRO,WILSON WIFZEL,WILSON JOSE WITZEL,WILSON WITZEL,,
RIO GRANDE DO NORTE,ALVAROS DIAS,ALVARO COSTA DIAS,ALVARO DIAS,,
RIO GRANDE DO NORTE,FABIO FARIAS,FABIO SALUSTINO MESQUITA FARIA,FABIO FARIA,,
RIO GRANDE DO NORTE,LOMBA FARIAS,LUIZ ANTONIO LOURENCO FARIAS,TOMBA FARIAS,,
RIO GRANDE DO NORTE,CAPITAO STYVERSON,EANN STYVENSON VALENTIM MENDES,CAPITAO STYVENSON,,
RIO GRANDE DO NORTE,DR BERNANDO,BERNARDO CESAR CARLOS BELARMINO AMORIM,DR BERNARDO,,
RIO GRANDE DO NORTE,GERLADO MELO,GERALDO JOSE CAMARA FERREIRA MELO,GERALDO MELO,,
RONDÔNIA,ACIR GURGACK,ACIR MARCOS GURGACZ,ACIR GURGACZ,,
RONDÔNIA,NILTON CAPIXADA,NILTON BALBINO,NILTON CAPIXABA,,
RONDÔNIA,SCHEILA CASSOL,SCHEILLA FREITAS,SCHEILLA CASSOL,,
RONDÔNIA,LEO MORAIS,LEONARDO BARRETO MORAES,LEO MORAES,,
RONDÔNIA,LAZINHO FETEGRO,LAZARO APARECIDA DOBRI,LAZINHO FETAGRO,,
RONDÔNIA,LINDOMAR GARCOM,LINDOMAR BARBOSA ALVES,LINDOMAR GARCON,,
RONDÔNIA,EXPEDITO NETO,EXPEDITO GONCALVES FERREIRA NETTO,EXPEDITO NETTO,,
RONDÔNIA,SHEILA CASSOL,SCHEILLA FREITAS,SCHEILLA CASSOL,,
RONDÔNIA,JAGUELINE CASSOL,DIRLAINE JAQUELINE CASSOL,JAQUELINE CASSOL,,
RONDÔNIA,LUIZINHO GAEBEL,LUIZ ALBERTO GOEBEL,LUIZINHO GOEBEL,,
RONDÔNIA,EZEEQUIEL NEIVA,ISEQUIEL NEIVA CARVALHO,EZEQUIEL NEIVA,,
RONDÔNIA,VANDERLEY GRAEBIN,VANDERLEI AMAURI GRAEBIN,VANDERLEI GRAEBIN,,
RONDÔNIA,CAETANO NETO,CAETANO VENDIMIATTI NETTO,CAETANO NETTO,,
RONDÔNIA,CABO ZILDA,ZILDO JOSE SANTOS,CABO ZILDO,,
RONDÔNIA,LUCIO MOSQUNI,LUCIO ANTONIO MOSQUINI,LUCIO MOSQUINI,,
RONDÔNIA,LUCAS FOLADOR,LUCAS FOLLADOR,LUCAS FOLLADOR,,
RONDÔNIA,ACIR GURGAZ,ACIR MARCOS GURGACZ,ACIR GURGACZ,,
RONDÔNIA,PIMENTA RONDANIA,NASCIMENTO ANTONIO SILVA,PIMENTA RONDONIA,,
RONDÔNIA,JESUALDO PERES,JESUALDO PIRES FERREIRA JUNIOR,JESUALDO PIRES,,
RONDÔNIA,BASCO FEDERAL,JOAO BOSCO COSTA,BOSCO FEDERAL,,
RONDÔNIA,ROSANGELA DONADOR,ROZANGELA HENRIQUE PEREIRA DONADON,ROSANGELA DONADON,,
RONDÔNIA,CARLINHOS CAMORCA,CARLOS ALBERTO AZEVEDO CAMURCA,CARLINHOS CAMURCA,,
RONDÔNIA,CORONEL CRISTOSTOMO,JOAO CHRISOSTOMO MOURA,CORONEL CHRISOSTOMO,,
RONDÔNIA,MOURAO CARVALHO,MAURO CARVALHO,MAURAO CARVALHO,,
RONDÔNIA,AZEQUIEL NEIVA,ISEQUIEL NEIVA CARVALHO,EZEQUIEL NEIVA,,
RONDÔNIA,JUNIOR RAPOSA,FRANCISCO CARLOS LONDE RAPOSO JUNIOR,JUNIOR RAPOSO,,
RONDÔNIA,PIMENTA RONDINIA,NASCIMENTO ANTONIO SILVA,PIMENTA RONDONIA,,
RONDÔNIA,CONFICIO MOURA,CONFUCIO AIRES MOURA,CONFUCIO MOURA,,
RONDÔNIA,PAULO CADILAC,PAULO SERGIO AUGUSTO SILVA,PAULO CADILLAC,,
RONDÔNIA,ROSARIO HELENA,ROSARIA HELENA OLIVEIRA LIMA,ROSARIA HELENA,,
RONDÔNIA,AGNALDO NEPONUCENO,AGNALDO ARAUJO NEPOMUCENO,AGNALDO NEPOMUCENO,,
RONDÔNIA,CLEYTON ROQUE,CLEITON ROQUE,CLEITON ROQUE,,
RONDÔNIA,JAIR MONTES,JAIR FIGUEIREDO MONTE,JAIR MONTE,,
RONDÔNIA,LAZIN FETAGRO,LAZARO APARECIDA DOBRI,LAZINHO FETAGRO,,
RONDÔNIA,PADRE TOM,MARITON BENEDITO HOLANDA,PADRE TON,,
RONDÔNIA,DR VENCESLAU,WENCESLAU RUIZ LINHARES NETO,DR WENCESLAU,,
RONDÔNIA,LUIS CLAUDIO AGRICULTURA,LUIZ CLAUDIO PEREIRA ALVES,LUIZ CLAUDIO AGRICULTURA,,
RONDÔNIA,MOISES CRUS,MOISES CRUZ VIEIRA,MOISES CRUZ,,
RONDÔNIA,JOSUALDO PIRES,JESUALDO PIRES FERREIRA JUNIOR,JESUALDO PIRES,,
RONDÔNIA,JESUINO BOABARD,JESUINO SILVA BOABAID,JESUINO BOABAID,,
RONDÔNIA,JOELNA HOLDES,JOELNA RAMOS HOLDER AGUIAR,JOELNA HOLDER,,
RONDÔNIA,ROSANGELA DANADON,ROZANGELA HENRIQUE PEREIRA DONADON,ROSANGELA DONADON,,
RONDÔNIA,JAIR MAONTES,JAIR FIGUEIREDO MONTE,JAIR MONTE,,
RONDÔNIA,PROF LUISMAR NEVES,LUIZMAR OLIVEIRA NEVES,PROF LUIZMAR NEVES,,
RONDÔNIA,EZEQUIEL JUNIO,EZEQUIEL JUNIOR SANTOS COSTA,EZEQUIEL JUNIOR,,
RONDÔNIA,LAZINHO FELAGRO,LAZARO APARECIDA DOBRI,LAZINHO FETAGRO,,
RONDÔNIA,MARCOS SUCAO,MARCOS ANTONIO MARQUES,MARCAO SUCAO,,
RONDÔNIA,MELKI DONADOR,MELKISEDEK DONADON,MELKI DONADON,,
RONDÔNIA,ADRIANA BOIADEIRO,ADRIANO APARECIDO SIQUEIRA,ADRIANO BOIADEIRO,,
RONDÔNIA,CONONEL CHARLON,CHARLON ROCHA SILVA,CORONEL CHARLON,,
RONDÔNIA,CARONEL CHRISOSTOMO,JOAO CHRISOSTOMO MOURA,CORONEL CHRISOSTOMO,,
RONDÔNIA,LUCAS FOLLODOR,LUCAS FOLLADOR,LUCAS FOLLADOR,,
RONDÔNIA,CRISTINE LOPES,CRISTIANE LOPES LUZ BENARROSH,CRISTIANE LOPES,,
RONDÔNIA,PADOVANI AGRICULTUARA,EVANDRO CESAR PADOVANI,PADOVANI AGRICULTURA,,
RONDÔNIA,JOTA JUNIOR,NELSON TOZATTO,JOTTA JUNIOR,,
RONDÔNIA,JAIME BAGATOLLI,JAIME MAXIMINO BAGATTOLI,JAIME BAGATTOLI,,
RIO GRANDE DO SUL,ANA AMELIO LEMOS,ANA AMELIA LEMOS,ANA AMELIA LEMOS,,
RIO GRANDE DO SUL,JULIO FORES,JULIO CEZAR LEIRIAS FLORES,JULIO FLORES,,
SANTA CATARINA,ESPIRIDIAO AMIN,ESPERIDIAO AMIN HELOU FILHO,ESPERIDIAO AMIN,,
SÃO PAULO,MARA GABRILI,MARA CRISTINA GABRILLI,MARA GABRILLI,,
GOIÁS,MARIANA SANT'ANNA,MARINA PIGNATARO SANT'ANNA,MARINA SANT'ANNA,,
MINAS GERAIS,LUIS LOPES PORCAO,LUIZ ANTONIO LOPES,LUIZ LOPES PORCAO,,
ACRE,GLADISON CAMELLI,GLADSON LIMA CAMELI,GLADSON CAMELI,,
ACRE,MARCIO BITAR,MARCIO MIGUEL BITTAR,MARCIO BITTAR,,
ACRE,GLADSON CAMELLI,GLADSON LIMA CAMELI,GLADSON CAMELI,,
ACRE,JANANAINA FURTADO,JANAINA ARAUJO FURTADO ACIOLY,JANAINA FURTADO,,
ACRE,CESSAR MESSIAS,CARLOS CESAR CORREIA MESSIAS,CESAR MESSIAS,,
ACRE,ALLAN RICK,ALAN RICK MIRANDA,ALAN RICK,,
ACRE,FLAVIANO MELLO,FLAVIANO FLAVIO BAPTISTA MELO,FLAVIANO MELO,,
ACRE,CRISTOVAO MOURA,CRISTOVAM PONTES MOURA,CRISTOVAM MOURA,,
ACRE,MARIVALDO MELLO,MARIVALDO GONCALVES MELO,MARIVALDO MELO,,
ACRE,PELE,JOSE EGLE OLIVEIRA REBOUCAS,EGLE,,
ACRE,HENRI NOGUEIRA,HENRY ANTONIO SILVA NOGUEIRA,HENRY NOGUEIRA,,
ACRE,WENDY LIMA,WHENDY SNANKY PRAXEDES PONCIANO SILVA LIMA,WHENDY LIMA,,
ACRE,ANDRE DOUTOROGA VALLE,ANDRE ROBERTO ROGERIO VALE SANTOS,ANDRE DOUTOROGA VALE,,
