"NR_CNPJ_EMPRESA","NM_EMPRESA"
"00866217000189","Agência Orbe de Pesquisa e Comunicação Ltda."
"11007468000124","IPPECET - Instituto de Planejamento, Pesquisa, Comunicação, Estudos Sociais e Tecnológicos"
"10472104000152","Agência Kapta"
"01286233000165","Precisão Tecnologia e Consultoria LTDA ME"
"04852765000100","Correio Fluminense LTDA ME"
"10683261000107","Ulrich Pesquisa e Marketing Ltda"
"10760183000105","GEORGE DE OLIVEIRA LEITE"
"10848432000100","Instituto Informa - Pesquisa de Opinião Pública LTDA"
"13475743000160","Ideia Inteligência em Pesquisa Ltda"
"10634717000149","ORBITAL SUL SERVIÇOS DE PESQUISAS LTDA"
"16684996000131","JOÃO CARLOS MEDEIROS DA SILVA ME"
"40808743000107","MARCIA CÂMARA DE FIGUEIREDO"
"10307514000148","ERIVALDO TRINDADE DE ARAUJO ME"
"05752322000100","Start Pesquisa e Consultoria Técnica LTDA."
"03127619000150","CERTUS PESQUISA E CONSULTORIA LTDA"
"03427023000175","carlos magno machado"
"04959873000187","SMART - PESQUISA E COMUNICACAO LTDA - ME"
"02503309000120","Comunicare Organizações Ltda ME"
"09635819000108","PRPL Serviços de Consultoria Ltda-ME"
"04804931000101","PÚBLICA SERVIÇOS LTDA - EPP"
"06934246000117","NOSSA FOLHA PUBLICAÇÕES LTDA"
"11565915000160","INSTITUTO DE PESQUISA CALEFFI LTDA  EPP"
"84051663000125","Flavio Rabello"
"15625058000106","SOUSA & LUCENA LTDA - ME"
"10905523000130","Fanieli Abreu"
"10735713000157","INDEX Instituto de Pesquisas LTDA"
"08617948000100","Instituto Holus"
"14661047000100","IPESA - INSTITUTO DE PESQUISA SOCIAL E ACESSIBILIDADE LTDA - ME"
"94908951000107","DIRCEU F.M GOMES ME"
"07389024000123","PONTUAL DADOS E CONSULTORIA LTDA ME"
"12329007000130","Vitoria Pesquisas Ltda"
"72113046000128","STUDIO PESQUISAS E CONSULTORIA LTDA"
"09328809000111","INSTITUTO LJM LTDA"
"00853528000103","Instituto Methodus Análise de Mercado Sociedade Simples Limitada"
"00980143000107","POLIS EMPRESA DE PESQUISA E CONSULTORIA MUNICIPAL LTDA"
"06014909000185","KEPELER CONSULTORIA LTDA"
"06195029000152","Vértice Produtora de Eventos, Marketing e Pesquisas LTDA"
"85250702000186","Instituto Catarinense de Pesquisas Ltda"
"12910814000142","REAL SUL PESQUISA E PLANEJAMENTO LTDA"
"07318001000128","CASA BRASIL EDITORES LTDA"
"13483729000108","Foco Pesquisas e Serviços"
"16828207000199","InPro Instituto de Pesquisas e Projetos Sociais"
"02525612000123","ROTHER E CAMPOS LTDA. ME"
"09043510000110","INSTITUTO NACIONAL DE SOCIOLOGIA E PESQUISA LTDA"
"93807485000100","BUREAU ESCRITÓRIO DE POESQUISAS MERCADOLÓGICAS LTDA."
"07910717000110","NG MARKETING E COMUNICAÇÃO LTDA"
"06083776000107","MICHELE FATIMA FARIAS E CIA LTDA"
"02457254000169","Mara Terezinha Baierle"
"15791024000183","Cláudio Roberto dos Santos - Coleta"
"95438412000114","Associação Pró-Ensino em Santa Cruz do Sul"
"08537916000197","Ruan Pesquisa de Mercado e Assessoria em Gestão Empresarial Ltda"
"11572949000182","BZN PESQUISA DE MERCADO E MERCHANDISING LTDA - ME"
"82883901000133","VORTEX PESQUISAS CONSULTORIA E SISTEMAS LTDA/ME"
"12896144000157","Elvinede Ivete Recalcati"
"73331514000101","Plano Pesquisas Ltda."
"07911066000182","Infra Consultoria Pesquisa e Marketing Ltda ME"
"83203646000101","MAPA MARKETING E PARTICIPAÇÕES LTDA"
"11524371000199","RR8 Consultoria Pública Ltda"
"14565072000190","NOAU PESQUISA E PROJETOS"
"84307974000102","FUNDAÇÃO UNIVERSIDADE DO VALE DO ITAJAÍ"
"05590702000196","ACCORD CONSULTORIA LTDA"
"04611126000153","Instituto de Pesquisa Assessoria e Consultoria LTDA."
"02603313000160","Sintese Pesquisas e Assessoria Ltda"
"05787083000124","luiz antonio paludo"
"83067108000129","HGS PESQUISA E ASSESSORIA LTDA"
"14346094000160","Felipe Onisto"
"15836399000112","Axioma Serviços de apoio administrativo LTDA"
"05643471000131","Diagrama Publicidade Ltda"
"15581821000136","IPEX - Instituto de Pesquisas LTDA"
"01326246000110","Terbuss Publicidade Pesquisa Marketing Editora e Treinamento Ltda ME"
"95796587000101","França & França Consultoria LTDA"
"01120038000160","On Line Informações de Mercado Ltda"
"01144174000190","IVES - INSTITUTO DE VALORIZACAO A VIDA E ESTUDOS SOCIO-ECONOMICO, SINDICAIS, POLÍTICO E AMBIENTAL DE SANTA CATARINA"
"08255393000196","FOCO OPINIAO E MERCADO LTDA ME"
"15602816000162","Central de Informações Comerciais Ltda. - DATAFORM"
"15016444000192","CONSULT - COMUNICAÇÃO, CONSULTORIA E PESQUISA LTDA"
"03817479000141","ÚNICA - Unidade de Informação, Pesquisa e Consultoria"
"12451031000148","ANDRÉA P. P. GUIMARÃES - PESQUISAS DE MARKETING (ME)"
"01123812000197","CEPECEM - CENTRO DE PESQUISAS, CONSULTORIA E ESTUDOS DE MERCADO"
"08405176000135","A. M. REY EDITORA LTDA ME"
"15032554000148","M A O SILVA PESQUISAS DE MERCADO - ME"
"09169108000187","Édison Lourenço Gomes"
"03042195000120","UP - UNIDADE DE PESQUISAS S/C LTDA"
"13807582000164","IQuesty Pesquisas e Opinião LTDA"
"73988917000110","OPINIÃO PESQUISA ANÁLISE E CONSULTORIA LTDA"
"09470150000133","IPAT - INSTITUTO DE PESQUISAS A TRIBUNA LTDA"
"11490462000150","José Norberto Prates"
"96508015000134","Limite Consultoria e Pesquisas de Marketing Ltda"
"08145759000174","TOLEDO CAMPOS   EDITORA E COMUNICACAO   LTDA"
"08213867000137","CW7 INSTITUTO DE PESQUISAS LTDA EPP"
"06236709000177","RAPHAEL FERREIRA DE BARROS FILHO - ME"
"04116046000121","Statsol Consultoria Estatística e Pesquisa de Mercado LTDA"
"02456213000158","DATAVALE, PESQUISAS, COMUNICAÇÕES E SISTEMAS S/C LTDA"
"13619980000157","R7MP AGENCIA DE PUBLICIDADE E MARKETING LTDA."
"14280999000184","ALEXANDRE SOCRATES NAVISKAS - ME"
"71604227000194","PRÓPESQUISA SERVIÇOS DE TELEADENTIMENTO LTDA"
"11262311000145","F.L.S.PESQUISA ASSESSORIA E MARKETING LTDA"
"03549154000125","Millenium Pesquisas, Publicidades S/C Ltda"
"61466926000161","Editora Fartura Ltda"
"07421264000168","Editora Vieira Aires Ltda"
"10727557000182","ROCHA & ORTENSE PESQUISA E CONSULTORIA LTDA. - ME"
"07013973000104","In-Data Marketing S/S Ltda"
"05123359000170","INSTITUTO DE PESQUISA E MARKETING PAULISTA INFORMATICA - IPEMPI"
"09334545000109","ANDREIA RAFAEL PUBLICIDADE, PESQUISA E NOTÍCIAS ME"
"09630378000143","AGENCIA J. AD DE PUBLICIDADE E PESQUISA LTDA"
"08716449000162","Memento Consultoria, Assessoria de Imprensa e Tradução Ltda"
"12034597000174","Renata Marzola Cruz ME"
"03155494000171","MAS  OPINIÃO E  PESQUISA S/C  LTDA ME"
"60249448000175","Engracia Garcia Consultoria e Pesquisa"
"62292602000117","ENFOQUE ASSESSORIA DE COMUNICAÇÃO INTEGRADA LTDA"
"57541377000175","DIARIO DO GRANDE ABC SA"
"16623147000178","DGABC PESQUISAS LTDA"
"01200109000135","QUALITE VIE - GESTAO DE NEGOCIOS E SERVICOS DE APOIO A SAUDE,ESPORTE E QUALIDADE DE VIDA LTDA. - ME"
"04155770000164","Scenso - Pesquisa de Opinião e de Mercado SC/LTDA"
"05104718000141","Instituto Kairós - IK"
"06104274000107","INSTITUTO REGIONAL PAULISTA DE PESQUISA LTDA - ME"
"10673919000108","BRANDÃO & COSTA PRESTAÇÃO DE SERVIÇOS DE DIGITAÇÃO LTDA ME"
"13004769000120","GQuest Pesquisas de Mercado Ltda."
"43455062000109","Toledo & Associdos Pesquisa de Mercado e Opinião Pública Ltda"
"10220195000139","INSTITUTO DE PESQUISAS DE MERCADO E OPINIÃO INFOCORREIO LTDA"
"04782083000179","EXACTUS - SOLUÇÕES EM DADOS S/C LTDA."
"05358902000118","INSTITUTO DE PESQUISA SOROCABANO LTDA."
"05034275000160","IMPACTO PESQUISA, ASSESSORIA DE COMUNICACAO E MARKETING LTDA"
"13768347000120","PRISCILA REGINA VASQUEZ"
"01314654000152","CL PESQUISA CONSULTORIA E ASSESSORIA ORGANIZACIONAL LTDA"
"60005196000139","OESTECOM PROPAGANDA E MARKETING"
"12312607000196","INSTITUTO DE PESQUISAS PHD LTDA"
"02789166000164","M R COMUNICACAO E MARKETING LTDA"
"12330462000156","Quanty Instituto de Pesquisas de Opinião Pública Ltda"
"14275315000156","ERICA REGINA ANALISE E PESQUISA LTDA ME"
"00334806000116","JCK Propaganda Marketing e Design Ltda"
"48989156000173","José & Souza Ltda."
"64613466000145","O.T.COMERCIAL PESQUISAS E PROMOCOES S/S"
"13865288000109","FABRICIO ATHAYDE DOS SANTOS MEI"
"13546441000135","Abreu & Odahara Ltda ME"
"01291832000177","SYNMATEC INFORMÁTICA LTDA"
"11085848000187","BRAZCOMM COMUNICAÇÃO E PLANEJAMENTO LTDA"
"11015874000139","NewSense Pesquisa, Consultoria, Marketing, Recursos Humanos e Representações LTDA"
"65503302000128","Data Kirsten Pesquisas, Projetos e Projeções LTDA"
"03207709000150","Maria Candida Gutieres dos Santos ME"
"00561773000147","IOPEQ - Instituto de Opinião Pública, Estatística e Qualidade Ltda ME."
"09597283000175","W S EDITORA GIRASSOL LTDA - ME"
"09492534000157","Dilson Craveiro dos Sanots"
"33640228000103","JORNAL PORTO NEWS LTDA"
"09597283000175","WS EDITORA GIRASSOL LTDA"
"06175359000186","MIRANDA, MIRANDA & COELHO LTDA"
"14311388000156","INSTITUTO VALFAL DE PESQUISAS DE OPINIÃO E MERCADO LTDA"
"14085358000179","SANTIAGO & LIMA LTDA"
"14888537000144","VOZ E PESQUISA TOCANTINS LTDA ME"
"15400529000170","IPETO LTDA"
"10501739000130","M A R DA ROCHA - MARKETING"
"86951993000100","Promotion-Editora Eventos E Promoções LTDA"
"08691707000101","COMPET CONSULTORIA, MARKETING, PESQUISAS E TREINAMENTOS LTDA - ME"
"03397255000128","GRUPO DE PESQUISA MARKETING SAO JUDAS TADEU LTDA"
"09282211000139","INSTITUTO DATAVOX DE PESQUISA E CONSULTORIA ESTRATÉGICA EM COMUNICAÇÃO LTDA  ME"
"04816658000127","EDITORA ANA CASSIA S.A."
"03079221000195","DMP DESIGN MARKETING E PROPAGANDA LTDA - ME"
"13768347000120","PRISCILA REGINA VASQUEZ 73652393287"
"84480946000192","DD MIDIA E PESQUISA LTDA - EPP"
"14614894000114","ERIC LIMA BARBOSA - ME"
"10730923000152","ALDOUS J R SANTANA - ME"
"06023655000161","A F SOARES MARKETING E PESQUISAS DE MERCADO LTDA - EPP"
"14627220000154","B.S.LEÃO CAVALCANTE"
"14794597000106","DATAPOP Pesquisa Sociais e de Opinião Ltda"
"10730923000152","ALDOUS J R SANTANA"
"19423911000150","Associação Amazonense de Gestão Ambiental da Amazonia - Jornal Novo Iranduba."
"20252668000133","Instituto ARTHUR OLIVEIRA OLIVEIRA -  M.E"
"08977267000145","R G C BORGES - ME"
"18886742000121","DADO PESQUISA E CONSULTORIA LTDA"
"04206810000150","Institiuto Brasileiro de Gestão Social e Pesquisa"
"17695761000108","INSTITUTO PONTUAR LTDA"
"15096871000128","Ápice Instituto de Pesquisas"
"18237296000124","INCOPE - Instituto Catarinense de Opinião Pública e Estatística"
"04483758000189","O&P BRASIL OPINIAO, ANALISE, ESTRATEGIA S/S LTDA"
"20087150000191","SEKEFF & SEKEFF LTDA - ME"
"19190101000109","OPINAR PESQUISAS LTDA"
"07217379000135","VOX DATA PESQUISA ASSESSORIA E PUBLICIDADE LTDA - ME"
"20507961000102","INFO - INSTITUTO DE PESQUISA FOLHA DA MANHÃ"
"02501289000158","OPINIAO CONSULTORIA LTDA - EPP"
"20240913000192","MA+ CONSULTORIA E SERVICOS"
"09122202000180","ETAPA - EMPRESA TÉCNICA DE CONSULTORIA, PESQUISA E ASSESSORIA - EIRELI"
"04362689000155","ST Pesquisa de Mercado Ltda."
"09509214000162","CT ASSESSORIA, CONSULTORIA, PROJETOS E PARTICIPAÇÕES LTDA - ME"
"04603737000150","EXPERTISE INTELIGENCIA E PESQUISA DE MERCADO LTDA"
"02002581000126","parce processamento de dados ltda"
"11077560000160","IPRI INSTITUTO DE PESQUISA DE REPUTACAO E IMAGEM L TDA"
"04970294000135","L A PESQUISA DE OPINIÃO MERCADOLÓGICA ASSESSORIA & MARKETING"
"81908345000140","INSTITUTO PARANÁ DE PESQUISAS E ANÁLISE DE CONSUMIDOR LTDA"
"13481009000103","Wanda Martins Vieira"
"02675828000175","EPSOM-EMPRESA DE PESQUISA SOCIAL, OPINIÃO E DE MERCADO"
"10275628000153","Axiomas Brasil Pesquisas, Cursos e Consultoria LTDA ME"
"04355189000196","centro automotivo hyllus ltda me"
"16769294000150","LEON ALVES CORREA"
"19799000000121","F.A.N.TEIXEIRA"
"09242998000105","Meta Publicidade e pesquisa"
"03781208000183","PRÊMIO LIDERES DE MERCADO S/C LTDA - PERSPECTIVA PESQUISA"
"04756345000120","Lopes e Faleiro Ltda"
"10783981000144","Seta Instituto de Pesquisa LTDA - ME"
"19079814000191","AREVAL & CIA LTDA - ME"
"04558809000194","MC - Consultoria em Pesquisa e Recursos Humanos Ltda."
"20018384000187","Amostra Instituto de Pesquisa Ltda -EPP"
"01648876000101","PADRÃO PESQUISAS CIENTÍFICAS"
"14888537000144","VOZ E PESQUISA TOCANTINS EIRELI"
"86951993000100","PROMOTION EDITORA EVENTOS PROM. E REPRESENTACOES LTDA"
"17590594000130","JORNAL CORREIO DO POVO TOCANTINENSE EIRELI - ME"
"10501739000130","M A R DA ROCHA - MARKETING - ME"
"17590594000130","JORNAL CORREIO DO POVO TOCANTINENSE EIRELI"
"15612495000187","IDEP BRASIL LTDA - ME"
"04942645000102","J J COELHO - ME"
"02170847000140","DATA CONTROL INSTITUTO DE PESQUISA LTDA - ME"
"02503309000120","COMUNICARE ORGANIZACOES LTDA - ME"
"08984712000102","F. FACANHA DE ALMEIDA - ME"
"68802370000186","IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA"
"10222379000138","E. S. DE MORAIS CONSULTORIA LTDA - ME"
"81908345000140","INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA - EPP"
"07768330000170","INSTITUTO VOZES DE PESQUISAS E CONSULTORIA ESTRATEGICA LTDA  - ME"
"09040566000111","INSTITUTO EXATTA - PESQUISAS DE OPINIAO E MERCADO EIRELI  - ME"
"03397255000128","GRUPO DE PESQUISA MARKETING SAO JUDAS TADEU LTDA - ME"
"22866169000161","CICERA LILIAN ALVES LOPES & CIA LTDA - ME"
"20128172000152","METTA PESQUISA E CONSULTORIA EMPRESARIAL ROSA LTDA - ME"
"24096881000154","IGOR NICASTRO DE ALMEIDA - ME"
"15063483000140","THIAGO VINICIUS MOTTA AQUINO"
"12875063000170","DINEY MATOS DA SILVA 79880215249"
"10711360000155","TACUTU SERVICOS DE PESQUISAS ESTATISTICAS LTDA  - ME"
"22267969000166","M P VALIN & CIA LTDA - ME"
"13475743000160","IDEIA INTELIGENCIA EM PESQUISA LTDA"
"01864538000107","IPEN - INSTITUTO DE PESQUISA DO NORTE LTDA - ME"
"05706042000166","ECOS SERVICOS LTDA - ME"
"18365789000140","MENTOR INTELIGENCIA, PESQUISAS E TECNOLOGIA LTDA  - ME"
"20256017000111","GUINA SERVICE PONTO COM EIRELI - ME"
"07317438000147","DOXA ARTE & COMUNICAO S/S LTDA"
"10340949000194","OPINIAO PESQUISA E ASSESSORIA LTDA - ME"
"05643737000146","ELEVA TECNOLOGIA E COMUNICACAO LTDA - ME"
"08989649000199","NAFONTE PESQUISAS DE OPINIAO E TECNOLOGIA LTDA"
"16096182000186","P & A PESQUISA E ANALISE SOCIAL E ECONOMICA LTDA - EPP"
"12032011000132","TOP PROJETOS E CONSULTORIA LTDA - ME"
"13273587000154","GASPARETTO PESQUISAS E ESTATISTICAS LTDA - ME"
"11535761000164","LM SUDOESTE COMUNICACAO LTDA. - ME"
"08624076000108","PLATAFORMA 4 COMUNICACAO E MARKETING FUUL SERVICE LTDA-ME  - ME"
"16176992000142","JOAO GONCALVES DE SOUZA DE IRECE - ME"
"22865656000100","IINMEC ESTUDOS E CONSULTORIA LTDA - ME"
"08210871000141","ANCORA PESQUISAS E PUBLICIDADE LTDA  - ME"
"04061427000150","FOLHA REGIONAL LIVRAMENTO LTDA  - ME"
"03688568000135","TECNODADOS PROJETOS E PESQUISAS LTDA - ME"
"02424348000131","ECONOMIC CAT ADMINISTRACAO PUBLICA, EMPRESARIAL E MARKETING LTDA"
"15444186000145","S F DOURADO MORENO - ME"
"15299211000144","EMANUEL BATISTA DA ROCHA - ME"
"11661310000173","SIST - SISTEMA COMPASSO DE CONSULTORIA, PESQUISA E PLANEJAMENTO LTDA - ME"
"09042642000128","CARLOS FARANI PARANHOS DE AZEVEDO - ME"
"04483758000189","O&P BRASIL OPINIAO, ANALISE, ESTRATEGIA S/S LTDA - EPP"
"14030361000195","BIS COMUNICACAO E ASSESSORIA LTDA - ME"
"05949626000162","IBEL - INSTITUTO BAIANO DE ESTATISTICAS LTDA - ME"
"06029551000164","BABESP - BAHIA, PESQUISA E ESTATISTICA LTDA - ME"
"21649194000120","PAINEL BRASIL CONSULTORIA E PESQUISA DE MERCADO E OPINIAO LTDA - ME"
"34367987000107","OPINIAO - MARKETING, PUBLICIDADE, PROMOCOES E SERVICOS LTDA - ME"
"10175843000182","INSTITUTO DE PESQUISAS PERFIL LTDA - ME"
"14874771000112","JAILSON ARAUJO MANGABEIRA - ME"
"03556888000131","LARCERTE CONSULTORIA EMPRESARIAL, TREINAMENTOS E EVENTOS LTDA - ME"
"05357278000134","CAMPUS CENTRO DE ESTUDOS E PESQUISAS DE OPINIAO LTDA"
"03303870000128","EXATA OP OPINIAO PUBLICA LTDA"
"08977889000173","NUNO RICARDO NUNES AFONSO ROCHA - ME"
"20139257000136","NEOCOM SERVICOS DE COMUNICACAO E MARKETING LTDA - ME"
"12126257000173","DIEGO ALVES DE OLIVEIRA 08597857692"
"24994195000109","BRUNOW PESQUISA DE OPINIAO E DESENVOLVIMENTO DE SISTEMAS LTDA - ME"
"11849437000110","IPESPE INST DE PESQUISAS SOCIAIS POLITICAS E ECONOMICAS"
"23598309000120","ELLUS PESQUISA E CONSULTORIA LTDA - ME"
"23937801000183","JOSE RICARDO ROCHA DE SOUZA - ME"
"19291367000130","FLEX CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA - ME"
"15602816000162","CENTRAL DE INFORMACOES COMERCIAIS EIRELI - EPP"
"22198794000182","MARIA EDNA DE B C FALABELLA & CIA LTDA - ME"
"01403730000104","E P P EMPRESA DE PESQUISA E CONSULTORIA LTDA - ME"
"04583866000123","DATAQUALY PESQUISA DE MERCADO E OPINIAO LTDA - EPP"
"21552341000140","IGOR PEREIRA PONTES 06043511517"
"06309509000105","ELAINE CRISTINA ARAUJO DA SILVA - ME"
"23191866000122","GRADUX BRASIL EIRELI - EPP"
"20650562000198","N P MARINHO - CONSULTORIAS - ME"
"15426716000122","ICAPES - INSTITUTO CAPIXABA DE PESQUISA E ESTATISTICA LTDA"
"03622028000159","ORRICO & CALIMAN LTDA"
"27205697000193","PR NET INFOR COMERCIO E SERVICOS EM PROJETOS E TECNOLOGIA DA INFORMACAO LTDA"
"24899123000174","WILLAN DE FRANCA SILVA - ME"
"13478933000130","IDHATA INSTITUTO  DE PESQUISA E INTELIGENCIA DE MARKETING LTDA  - ME"
"00410677000106","INSTITUTO NOBRE"
"17110229000181","AMPLA OPINIAO CONSULTORIA PESQUISA E PROJETOS LTDA  - ME"
"08797064000177","ZAYTECBRASIL SERVICO DE PESQUISA LTDA - ME"
"22675543000141","ESTIMATIVA EDITORA E COMUNICACAO LTDA - ME"
"03245449000108","VERITAS INSTITUTO DE PESQUISAS & REPRESENTACOES LTDA - ME"
"15563771000164","I. VILANDER DE N. RIBEIRO - ME"
"24700209000126","ARTUR EMILIO CAVALCANTE SAMPAIO - ME"
"21844272000148","PASSOS DE SA SOLUCOES INTELIGENTES LTDA - ME"
"09629388000169","IPNE - INSTITUTO DE PESQUISAS DO NORDESTE LTDA - ME"
"41296914000129","RECORDE ASSESSORIA E SERVICOS LTDA  - ME"
"10956929000142","DATAVOX PESQUISAS DE OPINIAO PUBLICA E ESTATISTICAS LTDA"
"09170122000109","FRANCISCO VIRGULINO DE AMORIM - ME"
"00852438000106","VOX MERCADO PESQUISAS E PROJETOS LTDA"
"09636807000190","INSTITUTO DE PESQUISA DATA AZ LTDA - ME"
"16832655000166","JOSE SERGIO MARTINS JUVENCIO 03258000301"
"08438497000136","BR MARKETING E PESQUISAS LTDA - ME"
"28500023000184","ENQUET PESQUISAS DE OPINIAO PUBLICA LTDA"
"17417139000138","AGESP - APOIO EM GESTAO E SAUDE PUBLICA LTDA - ME"
"39795414000190","FUTURA PESQUISA LTDA - EPP"
"08289540000149","LOGOS CONSULTORIA E PESQUISA LTDA - ME"
"00565157000164","FLEXCONSULT LTDA - EPP"
"14205224000144","CP CAMPOS & PENIDO CONSULTORIA E PESQUISA LTDA."
"22091058000120","ECO TREINAMENTOS E SERVICOS LTDA - ME"
"21968114000108","JESUINA OLIVEIRA XAVIER 02005589780"
"13159802000190","CEDEMP - CENTRO DE DESENVOLVIMENTO EMPRESARIAL E POLITICO LTDA - ME"
"20252668000133","ARTHUR OLIVEIRA SILVA - ME"
"05296716000100","SANTO ANDRE PESQUISA DE OPINIAO E MERCADO LTDA  - ME"
"14433837000139","IPCM INSTITUTO DE PESQUISA COMUNICACAO E MARKETING LTDA - ME"
"06972255000100","INSTITUTO NEROPOLINO DE PESQUISA LTDA"
"33403221000160","ERNANDO FERREIRA GOMES LOPES - ME"
"03989742000180","EDIR DE PAIVA BUENO - ME"
"17121731000198","INSTITUTO WORK EIRELI  - ME"
"11604837000166","ADEIDES RODRIGUES PEREIRA - ME"
"23963726000125","J. GONCALVES DA SILVA - ME"
"14853122000135","EMPRESA BRASILEIRA DE PESQUISAS LTDA - ME"
"05281052000105","VEGA PESQUISAS E COMUNICACAO LTDA - ME"
"05850850000100","FORTIORI PESQUISA DIAGNOSTICO & MARKETING LTDA - EPP"
"02678167000131","SERPES PESQUISAS DE OPINIAO E MERCADO LTDA - EPP"
"04913376000148","DINAMICA BRASIL SERVICOS E PROMOTORA DE EVENTOS LTDA - ME"
"14538940000143","ARLETE A. SANDRI DA SILVA PESQUISA CONSULTORIA E MARKTING - ME"
"01096445000180","GRUPOM CONSULTORIA EMPRESARIAL LTDA - EPP"
"15015873000145","DIAGNOSTICO PESQUISAS DE COMPORTAMENTO EIRELI"
"02203834000120","EMPRESA DE PESQUISA DE OPINIAO E MERCADO LTDA - ME"
"24515482000180","G. O. ABRANTES - ME"
"17709386000108","GUINTHER RODRIGUES JUNIOR 03319050192"
"07364626000126","SIGMA CONSULTORIA E PESQUISAS LTDA - ME"
"37025897000118","CAPP O+POSITIVO LTDA - ME"
"00135114000149","CENTRO BRASILEIRO DE PESQUISA LTDA"
"06288268000157","PODIUM CONSULTORIA, MARKETING, PESQUISAS E EDITORACAO LTDA  - ME"
"15484760000199","GK DE OLIVEIRA CORONATO PRODUCOES - ME"
"24761154000164","INTELLIGENCE PESQUISA E MARKETING EIRELI"
"10713151000140","JENIFER KARLA RIBEIRO - ME"
"09078962000138","SIGNATES CONSULTORIA, PESQUISA E EDITORACAO LTDA - EPP"
"13805175000118","CERRADO PESQUISAS E CONSULTORIA LTDA - ME"
"00640214000122","DOZE COMUNICACAO E DIFUSAO LTDA - ME"
"22745325000136","HELIO PEREIRA GOIANO EIRELI - ME"
"19738088000171","PLURAL ASSESSORIA DE IMPRENSA, PESQUISA E JORNALISMO LTDA - ME"
"13024085000190","JOSE MOREIRA DA SILVA II - ME"
"11281620000162","CAE VIDICA MORGAN - ME"
"11941759000195","IPE - INSTITUTO DE PESQUISAS E ESTRATEGIAS LTDA  - ME"
"25158765000185","MOREIRA & NOLETO LTDA - ME"
"15444655000126","MARIA APARECIDA DOS SANTOS 23139978120"
"04038104000146","TOCANTINS MARKET-ANALISE E INVESTIGACAO DE MERCADO LTDA - EPP"
"18409455000120","OPINIAO COMUNICACAO LTDA  - ME"
"25022229000158","EDIMAR DIVINO GOVEIA COMUNICACAO E CIA LTDA - ME"
"11463954000157","K. C. RODRIGUES - ME"
"07397712000135","INSTITUTO CALCULU  S DE JORNALISMO E PESQUISA LTDA - ME"
"09599855000155","CONSTAR SOLUCOES ORGANIZACIONAIS SOCIEDADE CIVIL LTDA - ME"
"01465988000127","FUNDACAO INTEGRADA MUNICIPAL DE ENSINO SUPERIOR"
"11460605000181","ZAAK CONSULTORIA E TREINAMENTO EMPRESARIAL LTDA - ME"
"04161143000136","BOOMERANG PROPAGANDA E MARKETING LTDA - ME"
"07607896000110","VIA APPIA CONSULTORIA E TREINAMENTO EMPRESARIAL LTDA."
"10892795000143","ESCUTEC - PESQUISAS DE MERCADO E DE OPINIAO PUBLICA LTDA. - EPP"
"63581458000100","LINO EMILIANO PRASERES SILVA - EPP"
"14266926000138","INOP - INSTITUTO NACIONAL DE OPINIAO PUBLICA LTDA - ME"
"00905916000190","M R BORGES SERVICOS"
"25240253000163","J M DE NOVAES - ME"
"11159115000140","ECONOMETRICA PESQUISA LTDA"
"17695761000108","INSTITUTO PONTUAR LTDA - ME"
"02348509000155","SONIA MARIA SILVA LIMA - ME"
"05833992000151","M. M. MACHADO SOARES"
"25247281000102","TRES PESQUISAS E SERVICOS LTDA - ME"
"06183431000117","MARCELO MAGALHAES & CIA. LTDA. - ME"
"01338700000153","INST GAUSS DE PESQ SOCIAIS ECON E DE OPINIAO PUB LTDA - ME"
"22889875000129","FABIO MARCELO DE MORAIS BATISTA - ME"
"09255395000148","INTELIGENTE CONSULTORIA E SERVICOS LTDA - ME"
"11186543000161","ROGERIO M. P. MOURA - ME"
"24626976000132","CONSTATMA SERVICOS LTDA - EPP"
"21605479000160","MARCOS AVENILDO FILHO DE AQUINO PINTO 07630330308"
"08334235000121","MIRIAM G DE OLIVEIRA COSTA - ME"
"10320257000184","INSTITUTO PIAUIENSE DE OPINIAO PUBLICA LTDA - EPP"
"09116552000134","MERITA COMERCIO E SERVICOS LTDA - ME"
"19190101000109","OPINAR PESQUISAS LTDA."
"21365064000166","CLAUDENILSON PEREIRA LOPES - ME"
"07837864000101","ADANS ESTATISTICA E CONSULTORIA LTDA - ME"
"14717260000197","C M ALBUQUERQUE JUNIOR - ME"
"10536538000179","J L MARANHAO CHAVES E CIA LTDA  - ME"
"09471067000189","CENSUS - INSTITUTO DE PESQUISAS LTDA - ME"
"05083409000132","MONDEGO E SILVA LTDA - ME"
"10500145000105","FRANCISCO VIEIRA FILHO - ME"
"06196072000132","IMPAR COMUNICACAO LTDA"
"08057107000188","INSTITUTO JALES DE PESQUISA LTDA"
"10601836000103","H. S. NASCIMENTO COMERCIO E SERVICOS - ME"
"09434008000130","PERFIL PESQUISAS DE OPINIAO PUBLICA E CONSULTORIA LTDA - ME"
"24989809000156","INSTANTE INTELIGENCIA DE MERCADO E OPINIAO PUBLICA EIRELI - ME"
"07854132000120","STRATEGYA COMUNICACAO, PUBLICIDADES E EVENTOS LTDA - ME"
"19697832000137","TATICA - CONSULTORIA PESQUISA LTDA - ME"
"67662494000140","INSTITUTO DE PESQUISA REALIDADE S/C LTDA"
