"NR_CNPJ_EMPRESA","NM_EMPRESA"
"09269398000130","INSTITUTO ANÍSIO TEIXEIRA DE EDUCAÇÃO E PESQUISAS LTDA."
"03245449000108","Veritas Instituto de Pesquisas e Representações Ltda."
"07617985000148","IPEP - INSTITUTO DE PESQUISAS SOCIAIS CONSULTORIA E MARKETING LTDA"
"12319674000132","ALVO PESQUISA E CONSULTORIA LTDA"
"07630546000175","DATAFOLHA INSTITUTO DE PESQUISAS LTDA."
"10477437000174","Mercadologica: Solucoes em Pesquisa, Comunicacao e Marketing LTDA"
"13430414000100","ALENCAR CONSULTORIA EMPRESARIAL LTDA"
"10956929000142","DATAVOX PESQUISA DE OPINIÃO PÚBLICA E ESTATISTICA LTDA."
"09116552000134","Merita Comércio & Serviços ltda"
"15563771000164","I.VILANDER DE N. RIBEIRO - ME  INSTITUTO CREDIBILIODADE"
"07844700000101","IPESES - Instituto de Pesquisas e Estatísticas do Espírito Santo LTDA ME"
"14602960000136","SOLUCAO TREINAMENTO MARKETING E PESQUISAS LTDA - ME"
"28500023000184","ENQUET PESQUISAS DE OPINIÃO PÚBLICA LTDA."
"05140977000128","INSTITUTO VASCONCELOS &SOUZA"
"08438497000136","BR MARKETING E PESQUISAS LTDA"
"03622028000159","Gualberto, Orrico e Caliman Ltda"
"08289540000149","LOGOS CONSULTORIA E PESQUISA"
"03624338000102","AMOSTRAS COMPANHIA DE OPINIAO PUBLICA,MERCADO E COMUNICACAO LTDA - ME"
"05234994000124","EDITORA LEIA TUDO LTDA"
"06056026000138","Wagner Luís dos Santos"
"00565157000164","FLEXCONSULT LTDA."
"15426716000122","ICAPES - INSTITUTO CAPIXABA DE PESQUISA E ESTATÍSTICA LTDA"
"02728098000123","VISÃO EMPRESARIAL EMPREENDIMENTOS CONS.E PARTICIPAÇÕES LTDA"
"13966378000196","EDSON DE SOUZA BASTOS 00787081760"
"10175843000182","Instituto de Pesquisas Perfil"
"08810547000164","LEVANT & CONSULT LTDA - ME"
"00654576000172","INSTITUTO VERITA LTDA - EPP"
"13805175000118","Cerrado Pesquisas e Consultoria"
"05281052000105","Vega Pesquisa e Comunicação Ltda"
"15484760000199","GK DE OLIVEIRA PRODUÇÕES ME"
"14853122000135","EBRAP  Empresa Brasileira de Pesquisa Ltda"
"06288268000157","PODIUM CONSULTORIA, MARKETING E PESQUISA LTDA"
"01414620000130","Parlamento Papéis e Pesquisas Ltda."
"03455994000129","CLASS MARKETING ASSESSORIA E PESQUISA LTDA - ME"
"15612495000187","IDEP BRASIL LTDA"
"11171368000139","IGOPPE - INSTITUTO GOIANO DE PUBLICIDADE E PESQUISA LTDA"
"33403221000160","Ernando Ferreira Gomes Lopes DADOSFOLHA"
"15135413000150","Adelice Camelo Pinto ME"
"10791900000158","SILVANDETH VIEIRA DA SILVA"
"06972255000100","INSTITUTO NEROPOLINO DE PESQUISA-LTDA"
"73726325000120","Vivaldo Ribeiro de Souza"
"14433837000139","IPCM - INSTITUTO DE PESQUISA, COMUNICAÇÃO E MARKETING LTDA"
"10892284000121","T R DE SOUSA JUNIOR"
"03303870000128","EXATA OP OPINIÃO PÚBLICA LTDA"
"15015873000145","Diagnóstico Pesquisas de Comportamento Eirele"
"25022229000158","EDIMAR DIVINO GOVEIA COMUNICACAO E CIA LTDA"
"06271706000174","ACCESS PROJETOS DESENVOLVIMENTO DE SISTEMAS CONSULTORIA E PESQUISAS LTDA"
"02678167000131","SERPES - PESQUISAS DE OPINIÃO E MERCADO LTDA"
"00654576000172",",INSTITUTO   VERITÁ   LTDA  epp"
"07364626000126","SIGMA CONSULTORIA E PESQUISAS LTDA"
"01096445000180","GRUPOM CONSULTORIA EMPRESARIAL LTDA"
"05850850000100","Fortiori Pesquisa Diagnóstico e Marketing Ltda"
"02203834000120","Empresa de Pesquisa de Opinião e Mercado Ltda"
"00568270000101","ALMEIDA & PERES LTDA"
"07277330000178","ASB IPERSENA PUBLICIDADES LTDA - ME"
"00135114000149","CENTRO BRASILEIRO DE PESQUISA LTDA."
"16459004000172","IPEP - INSTITUTO DE PESQUISAS, EVENTOS E PUBLICIDADE - EIRELI"
"13630671000188","INSTITUTO SER COMPLETO LTDA"
"00396079000111","INTELLIGENCE PESQUISA"
"07183186000100","ADEMIR BATISTA CARNEIRO"
"09688704000173","Penachiotti e Farnochi LTDA"
"08761309000106","INSTITUTO DE PESQUISA E MARKETING LTDA -ME"
"03989742000180","Edir de Paiva Bueno"
"00850844000121","Dados Pesquisa Opinião e Mercado Ltda"
"03011668000122","MARK INSTITUTO DE PESQUISA E OPINÃO LTDA"
"00945330000150","Instituto Verus Assessoria e Pesquisa de Marketing Ltda - EPP"
"07397712000135","INSTITUTO CALCULUS DE JORNALISMO E PESQUISA  LTDA"
"00640214000122","DOZE COMUNICAÇÃO E DIFUSÃO LTDA"
"01465988000127","Fundação Integrada Municipal de Ensino Superior"
"09599855000155","CONSTAR SOLUÇÕES ORGANIZACIONAIS SOCIEDADE CIVIL LTDA"
"15580172000159","Meirilane Oliveira Caetano ME"
"13105186000195","INSTITUTO NACIONAL DE SELEÇÃO,PESQUISA E EDUCAO-INASPE"
"02348509000155","sonia maria silva lima"
"11773197000118","Instituto de pesquisa de opinião publica Brasileira"
"01217178000151","R N BRITO LIMA"
"05083409000132","MONDEGO E SILVA LTDA"
"14266926000138","Rafaela Cantanheide Lemos Gomes - INOP"
"63581458000100","Lino Emiliano Praseres Silva"
"10892795000143","ESCUTEC - PESQUISA DE MERCADO E OPINIÃO PÚBLICA LTDA"
"11159115000140","ECONOMETRICA PESQUISA E ENGENHARIA LTDA"
"10273033000169","GÊNESIS PESQUISAS LTDA - ME"
"05833992000151","M.M MACHADO"
"08057107000188","INSTITUTO JALES DE PESQUISA"
"00905916000190","M.R .Borges Serviços"
"10320257000184","INSTITUTO PIAUIENSE DE OPINIÃO PÚBLICA LTDA."
"09255395000148","INTELIGENTE CONSULTORIA E SERVIÇOS LTDA"
"12142535000186","INSTITUTO FOCO CONSULTORIA LTDA"
"14717260000197","C M ALBUQUERQUE JUNIOR"
"15492196000156","EDIVAN LOPES COELHO JUNIOR"
"11267907000138","Regional Mídias Associadas Ltda"
