OBS,1 = Preencher,tse_id,url,sg_uf,sg_ue,ds_cargos,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul40,cand41,resul41,cand42,resul42,cand43,resul43,person,nm_ue,instituto,estado,city,scenario,wrong,ID
,1,AP-00113/2018,https://www.diariodoamapa.com.br/cadernos/politica/pesquisa-doxa-ao-governo-do-amapa-waldez-551-capi-449/,AP,NA,Presidente,TRUE,pr,NA,NA,NA,JAIR BOLSONARO,47.9,FERNANDO HADDAD,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,AMAPÁ,NA,NA,NA,172,TRUE,3967
,1,BA-08989/2018,https://borgfmaovivo.blogspot.com/2018/05/parana-pesquisa-bolsonaro-lidera-na.html,BA,NA,"Senador, Governador",TRUE,pr,1,NA,NA,JAIR BOLSONARO,19.7,MARINA SILVA,18.6,CIRO GOMES,13.8,ALVARO DIAS,5.2,GERALDO ALCKMIN,5,FLAVIO ROCHA,1.8,MANUELA D'AVILA,1.4,RODRIGO MAIA,1.4,HENRIQUE MEIRELLES,1.2,JOAO AMOEDO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BAHIA,NA,NA,NA,317,TRUE,4749
,1,BR-00007/2014,NA,NA,NA,NA,TRUE,g,0,NA,NA,GERALDO ALCKMIN,10,PAULO SKAF,2,JOSE SERRA,2,CANDIDATO DO PT,1,LULA,1,ALEXANDRE PADILHA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,DATAFOLHA,SP,SÃO PAULO,334,TRUE,4593
,1,BR-00007/2014,NA,NA,NA,NA,TRUE,g,1,NA,NA,GERALDO ALCKMIN,44,PAULO SKAF,21,GILBERTO KASSAB,5,ALEXANDRE PADILHA,3,GILBERTO NATALINI,1,GILBERTO MARINGONI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,DATAFOLHA,SP,SÃO PAULO,336,TRUE,4594
,1,BR-00007/2014,NA,NA,NA,NA,TRUE,s,1,NA,NA,JOSE SERRA,41,EDUARDO SUPLICY,32,MARCIO FRANCA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,DATAFOLHA,SP,SÃO PAULO,338,TRUE,4595
,,RJ-03640/2018,https://noticias.r7.com/eleicoes-2018/rj-witzel-tem-58-dos-votos-validos-e-paes-42-diz-realtime-big-data-23102018,BR,NA,Presidente,TRUE,g,NA,NA,NA,WITZEL,49,EDUARDO PAES,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,NA,NA,355,TRUE,4753
,,GO-00023/2014,https://www.opopular.com.br/polopoly_fs/1.503893.1395533243!/menu/standard/file/230314-gert_serpes1.pdf,BR,NA,Presidente,TRUE,g,1,NA,NA,PERILLO,34.5,IRIS,26.6,VANDERLAN,12.9,ANTONIO GOMIDE,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,NA,NA,358,TRUE,4754
,,GO-00023/2014,https://www.opopular.com.br/polopoly_fs/1.503893.1395533243!/menu/standard/file/230314-gert_serpes1.pdf,BR,NA,Presidente,TRUE,g,1,NA,NA,PERILLO,37.5,VANDERLAN CARDOSO,12.9,JUNIOR FRIBOI,12.2,ANTONIO GOMIDE,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,NA,NA,358,TRUE,4755
,,PI-00028/2014,http://cidadesnanet.com/noticias/politica/eleicoes-2014-wellington-dias-lidera-pesquisa-em-todo-o-piaui-veja-numeros/,BR,NA,Presidente,TRUE,g,0,NA,NA,WELLINGTON DIAS,17.42,MARCELO CASTRO,9.79,MAO SANTA,1.74,WILSON MARTINS,1.67,SILVIO MENDES,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,NA,NA,365,TRUE,4758
,,SP-00003/2014,https://issuu.com/freesaopaulo/docs/sao_paulo_email,BR,BR,PRESIDENTE,TRUE,g,1,NA,NA,GERALDO ALKIMIN,28,PAULO SKAF,11,ALEXANDRE PADILHA,10,GILBERTO KASSAB,5,PLINIO DE ARRUDA SAMPAIO,3,GILBERTO NATALINI,3,MAJOR OLIMPIO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARI,NA,NA,NA,NA,368,TRUE,2281
