info_muni,candidate,correction
BELO HORIZONTE,EROS BIONDINI,
BELO HORIZONTE,GABRIEL AZEVEDO,
BELO HORIZONTE,JOAO VITOR XAVIER,
BELO HORIZONTE,MATEUS SIMOES,
BELO HORIZONTE,MATHEUS SIMOES,MATEUS SIMOES
BELO HORIZONTE,MAURO TRAMONTE,
BELO HORIZONTE,NILMARIO MIRANDA,
BELO HORIZONTE,PATRUS ANANIAS,
BELO HORIZONTE,PROFESSOR WENDEL,
BELO HORIZONTE,REGINALDO LOPES,
BELO HORIZONTE,RODRIGO PAIVA,
BELO HORIZONTE,VANESSA PORTUGAL,
BELO MONTE,ANTONIO CINTRA,
BELO MONTE,AVANIO FEITOSA,
BELO MONTE,DALMINHO,
BELO MONTE,VAL SANTANA,
BELTERRA,ARIELTON SILVA,
BELTERRA,DR MACEDO,
BELTERRA,DR MARCEDO,DR MACEDO
BELTERRA,JR ROCHA,VEREADOR JUNIOR ROCHA
BELTERRA,MILTON ALMADA,
BELTERRA,OTI ANTOS,OTI SANTOS
BELTERRA,ULISES,ULISSES
BELTERRA,ULISSES,
BELTERRA,VEREADOR JUNIOR ROCHA,
BERNARDINO BATISTA,EDOMARQUES,
BERNARDINO BATISTA,GERVAZIO GOMES,
BERNARDINO BATISTA,MARQUINHOS,
BERNARDINO BATISTA,RUY,
BONFINÓPOLIS,DIENES,
BONFINÓPOLIS,HERMES,
BONFINÓPOLIS,LUCAS GALDINO,
BONFINÓPOLIS,MUSQUITO,
BONFINÓPOLIS,PROFESSOR KELTON,
BONFINÓPOLIS,RENATO DAMATA,
BONFINÓPOLIS,ZE PAULINO,
BRASILEIRA,ALAN JUCIE,
BRASILEIRA,CARMEN GEAN,
BRASILEIRA,MESSIAS,
BRASILEIRA,PATRICIA PIMENTAL,
BREJO,IDENILDE,IDENILDE VIEIRA
BREJO,IDENILDE VIEIRA,
BREJO,OLIVIA,OLIVIA CALDAS
BREJO,OLIVIA CALDAS,
BREJO,ZE FARIAS,
CABEDELO,ANDRE LIMA,
CABEDELO,MARCOS PATRICIO,
CABEDELO,MORGANA MACENA,
CABEDELO,MURILO GALDINO,
CABEDELO,NENO,
CABEDELO,VITOR HUGO,
CABO DE SANTO AGOSTINHO,ANTONIO RESENDE,
CABO DE SANTO AGOSTINHO,ELIAS GOMES,
CABO DE SANTO AGOSTINHO,KEKO ARMAZEM,
CABO DE SANTO AGOSTINHO,LULA CABRAL,
CABO DE SANTO AGOSTINHO,VADO FARMACIA,
CACHOEIRO DE ITAPEMIRIM,DIEGO LIBARDI,
CACHOEIRO DE ITAPEMIRIM,FABRICIO ZUMBI,
CACHOEIRO DE ITAPEMIRIM,FAYDA BELO,
CACHOEIRO DE ITAPEMIRIM,JOANA D'ARCK,
CACHOEIRO DE ITAPEMIRIM,JONAS NOGUEIRA,
CACHOEIRO DE ITAPEMIRIM,JOVELINO SCHIAVO,
CACHOEIRO DE ITAPEMIRIM,PROFESSOR BRENO,
CACHOEIRO DE ITAPEMIRIM,RENATA FIORIO,
CACHOEIRO DE ITAPEMIRIM,VICTOR COELHO,
CAFARNAUM,SUELI FERNANDES,
CAFARNAUM,WILSON,
CAIAPÔNIA,ADAO NAZIR FILHO,
CAIAPÔNIA,ARGEMIRO RODRIGUES,
CAIAPÔNIA,CAIO LIMA,
CAIAPÔNIA,CARMEN LUCIA,
CAIAPÔNIA,EDINHO,
CAIAPÔNIA,LARI,
CAIAPÔNIA,WALERIO RODRIGUES,
CAICÓ,ARTHUR MAYNARD,
CAICÓ,BATATA,
CAICÓ,DIEGO VALE,
CAICÓ,FRANCISCO OLIVEIRA,
CAICÓ,RANGEL,
CAICÓ,SARGENTO ALEXANDRE,
CAICÓ,TADEU,
CALDAS NOVAS,AMAURI RIBEIRO,
CALDAS NOVAS,ARLINDO,
CALDAS NOVAS,CORONEL BELLELI,
CALDAS NOVAS,DR JOAQUIM,
CALDAS NOVAS,EVANDO CRUZ,
CALDAS NOVAS,FLAVIO CANEDO,
CALDAS NOVAS,GIZELIA CUSTODIO,
CALDAS NOVAS,JOSE ARAUJO,
CALDAS NOVAS,KLEBER MARRA,
CALDAS NOVAS,MAGDA MOFATTO,
CALDAS NOVAS,SILIO JUNQUEIRA,
CALDEIRÃO GRANDE,CANDINHO GUIRRA,
CALDEIRÃO GRANDE,NETINHO GAMA,
CAMAÇARI,ANTONIO CARLOS SOARES,
