norm_est,est_id
SIMONE LIMA AGUIA,410
SIMONE LIMA AGUIAR,410
SIMONE SOARES ECHEVESTE,411
SOARES ARAUJO NETO,412
SRA CARLA BARROS ZOCCOLI,413
STALIN JABORANDY GUINANCIO,414
STENIO RODRIGUE LIMA,415
STENIO RODRIGUES LIMA,415
STEPHSON KIM,416
SUEIL GRACAS SILVA OLIVEIRA,417
SUELI GRACAS LEITE SILVA,417
SUELI GRACAS SILVA OLIVEIRA,417
SUELI GRACAS SILVA OLVEIRA,417
SULEI GRACAS SILVA OLIVEIRA,417
SYLAVANA FATIMA BARBOSA CABRAL,418
SYLVANA FATIMA BARBOSA CABRAL,418
TACIANNE ASSIS REZENDE,419
TADEU RODRIGUES COSTA,420
TAMARA BARROS,421
TAMARA FREITAS BARROS,421
TARCISIO SILVA,422
TARCISO SILVA,422
TATIANI CRISTINA ARA,423
TEOFILO RODRIGUES SOUSA JUNIOR,424
THAIS NEILAND SOARES BORGES,425
THAIS NIELAND SOARES BORGES,425
THIAGO ALTAFIN COLLETTI,426
THIAGO RODRIGUES SOUZA,427
TIAGO ALMEIDA OLIVEIRA,428
TUANNHY ROZEIRA HAVERROTH,429
ULISSES MONTARROYOS,430
ULISSES RAMOS MONTARROYOS,430
ULYSSES CAMURCA GUALBERTO,431
USIARA BRITO,432
USIARA BRITTO,432
UZIARA BRITO,432
VALE¿RIA SA¿ PAIVA PEREIRA BRUNETTA,433
VALERIA SA PAIVA PEREIRA,433
VALERIA SA PAIVA PEREIRA BRUNETTA,433
VERA LUCIA CANDIAN,434
VERA LUCIA CANDIANI,434
VERA LUCIA CANDIDANI,434
VERA LUCIA FAUSTO LINHARES ALMEIDA,435
VERA LUCIA FAUTO LINHARES ALMEIDA,435
VERA LUCIA FERRAZ SANTOS FRANCISCO,436
VERA LUCIA MILANI MARTINS,437
VERA LUCIA TEIXEIRA,438
VERUSCA CAMPOS,439
VERUSK CAMPOS,439
VERUSKA CAMPOS,439
VERUSKA NORIE TAKADA,440
VICTOR EMANUEL DORCA SILVA,441
VICTOR EMMANUEL BOUCAS SILVA,441
VICTORIA MARIA QUIRINO GOMES GONCALVES,442
VINICIUS FERREIA ANDRADE,443
VINICIUS FERREIRA ANDRADE,443
VITOR BOUCAS,441
VITOR E B SILVA,441
VITOR E BOUCAS SILVA,441
VITOR EMANUEL DORCA SILVA,441
VITOR EMMANUEL BOUCA SILVA,441
VITOR EMMANUEL BOUCAS,441
VITOR EMMANUEL BOUCAS SILVA,441
VITOT E BOUCAS SILVA,441
VIVIANE MONTEIRO LETTIERI,444
WAINER LEMOS DIONIZIO,445
WANDER LUIZ BENESCIUTI,446
WANDER LUIZ BENESCIUTTI,446
WANILDE SALETE SILVA VIANA,447
WEBERTH BRUNOW SANTOS,448
WECSLEY O PRATES,449
WECSLEY PRATES,449
WHARLEY BORGES FERREIRA,450
WILSON ALVES OLIVEIRA,451
NA,NA
